target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-18,2026-06-18T12:39:45+01:00,1493544,Indy Eleven,Brooklyn,USL Championship,USA,2026-06-17T23:00:00+00:00,PST,100,HIGH_SIGNAL_REVIEW,prediction_winner=Indy Eleven | pred_total_home_away=71.3/28.8 | 1x2=1.64/3.80/4.50 | ou2.5=1.65/2.15,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1493543,FC Tulsa,Monterey Bay,USL Championship,USA,2026-06-18T00:30:00+00:00,FT,97,HIGH_SIGNAL_REVIEW,prediction_winner=FC Tulsa | pred_total_home_away=64.2/35.8 | 1x2=1.80/3.45/3.90 | ou2.5=1.80/1.93,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524979,Fort Worth Vaqueros,McKinney Chupacabras,USL League Two,USA,2026-06-18T00:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=McKinney Chupacabras | pred_total_home_away=15.0/85.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524980,Springfield,Peoria,USL League Two,USA,2026-06-18T01:30:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Peoria | pred_total_home_away=29.5/70.5,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1493866,Forward Madison,Fort Wayne,USL League One,USA,2026-06-18T01:00:00+00:00,FT,66,MEDIUM_SIGNAL_REVIEW,prediction_winner=Forward Madison | pred_total_home_away=53.8/46.3 | 1x2=1.80/3.25/4.10 | ou2.5=2.05/1.70,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524983,Laredo Heat,Brazos Valley,USL League Two,USA,2026-06-18T01:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Laredo Heat | pred_total_home_away=70.5/29.5,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524958,AMSG,Ventura County Fusion,USL League Two,USA,2026-06-18T02:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Ventura County Fusion | pred_total_home_away=18.2/81.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1524969,Seahorses,Redlands,USL League Two,USA,2026-06-18T02:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Redlands | pred_total_home_away=27.6/72.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1542415,Khovd Western,Khangarid,Premier League,Mongolia,2026-06-18T07:00:00+00:00,FT,96,HIGH_SIGNAL_REVIEW,prediction_winner=Khangarid | pred_total_home_away=36.3/63.8 | 1x2=23.00/9.60/1.03 | ou2.5=1.70/1.90,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1542416,Khovd,Deren,Premier League,Mongolia,2026-06-18T10:00:00+00:00,2H,90,HIGH_SIGNAL_REVIEW,prediction_winner=Deren | pred_total_home_away=24.8/75.2 | 1x2=41.00/9.50/1.01,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1510790,Gute,Falu BS,Division 2 - Norra Svealand,Sweden,2026-06-18T10:30:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Falu BS | pred_total_home_away=32.8/67.2,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1534765,Akademiya Ontustik,Yelimay Semey 2,1. Division,Kazakhstan,2026-06-18T12:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Akademiya Ontustik | pred_total_home_away=76.0/24.0,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1457805,JKT Tanzania,Tanzania Prisons,Ligi kuu Bara,Tanzania,2026-06-18T13:00:00+00:00,NS,64,MEDIUM_SIGNAL_REVIEW,prediction_winner=JKT Tanzania | pred_total_home_away=53.0/47.0 | 1x2=2.10/3.50/2.85 | ou2.5=2.20/1.53,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1477244,Pamba Jiji,Mtibwa Sugar,Ligi kuu Bara,Tanzania,2026-06-18T13:00:00+00:00,NS,76,HIGH_SIGNAL_REVIEW,prediction_winner=Mtibwa Sugar | pred_total_home_away=57.3/42.8 | 1x2=1.60/3.40/5.00 | ou2.5=2.00/1.65,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1477246,Fountain Gate,Young Africans,Ligi kuu Bara,Tanzania,2026-06-18T13:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Young Africans | pred_total_home_away=29.3/70.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1534766,Arys,Kaspij Aktau 2,1. Division,Kazakhstan,2026-06-18T13:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Kaspij Aktau 2 | pred_total_home_away=34.3/65.8,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1509146,Meshakhte,Gagra,Erovnuli Liga,Georgia,2026-06-18T13:30:00+00:00,NS,100,HIGH_SIGNAL_REVIEW,prediction_winner=Gagra | pred_total_home_away=27.0/73.0 | 1x2=2.95/3.10/2.20 | ou2.5=2.05/1.60,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1553767,Renaissance Berkane,Olympique Safi,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,NS,100,HIGH_SIGNAL_REVIEW,prediction_winner=Renaissance Berkane | pred_total_home_away=65.5/34.5 | 1x2=1.50/3.60/6.50 | ou2.5=2.15/1.65,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1553768,Olympique Dcheïra,FAR Rabat,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,NS,100,HIGH_SIGNAL_REVIEW,prediction_winner=FAR Rabat | pred_total_home_away=27.0/73.2 | 1x2=7.20/3.75/1.44 | ou2.5=2.00/1.75,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1553769,Wydad AC,FUS Rabat,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,NS,73,MEDIUM_SIGNAL_REVIEW,prediction_winner=Wydad AC | pred_total_home_away=56.0/44.0 | 1x2=1.65/3.30/5.20 | ou2.5=2.20/1.62,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1553770,Yacoub El Mansour,Hassania Agadir,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Hassania Agadir | pred_total_home_away=45.0/55.0 | 1x2=2.38/3.00/2.85 | ou2.5=2.20/1.62,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1534771,Turan Turkistan,Aktobe Jas,1. Division,Kazakhstan,2026-06-18T15:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Turan Turkistan | pred_total_home_away=76.6/23.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1547547,Bamboutos,Bafmeng United,Elite Two,Cameroon,2026-06-18T12:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Bamboutos | pred_total_home_away=71.7/28.3,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1547549,Tonnerre,Yafoot,Elite Two,Cameroon,2026-06-18T14:00:00+00:00,NS,67,MEDIUM_SIGNAL_REVIEW,prediction_winner=Tonnerre | pred_total_home_away=64.3/35.7,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1547550,Union Douala,Sable,Elite Two,Cameroon,2026-06-18T12:00:00+00:00,NS,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sable | pred_total_home_away=36.6/63.4,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T12:39:45+01:00,1509144,Dinamo Tbilisi,Samgurali,Erovnuli Liga,Georgia,2026-06-18T16:00:00+00:00,NS,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Dinamo Tbilisi | pred_total_home_away=53.5/46.5 | 1x2=1.65/3.40/4.50 | ou2.5=1.80/1.80,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
