target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,adapter_status,allowed_downstream_use,review_priority,review_board_status,review_reason,manual_review_required,canonical_board_permission,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-18,2026-06-18T17:48:35+01:00,1553767,Renaissance Berkane,Olympique Safi,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Renaissance Berkane | pred_total_home_away=65.5/34.5 | 1x2=1.60/3.55/5.25 | ou2.5=2.20/1.62,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1553768,Olympique Dcheïra,FAR Rabat,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=FAR Rabat | pred_total_home_away=27.0/73.2 | 1x2=7.00/3.75/1.44 | ou2.5=2.00/1.77,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1553769,Wydad AC,FUS Rabat,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,FT,73,MEDIUM_SIGNAL_REVIEW,prediction_winner=Wydad AC | pred_total_home_away=56.0/44.0 | 1x2=1.65/3.30/5.25 | ou2.5=2.20/1.62,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1553770,Yacoub El Mansour,Hassania Agadir,Botola Pro,Morocco,2026-06-18T14:00:00+00:00,FT,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Hassania Agadir | pred_total_home_away=45.0/55.0 | 1x2=2.25/3.10/3.10 | ou2.5=2.15/1.65,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1534771,Turan Turkistan,Aktobe Jas,1. Division,Kazakhstan,2026-06-18T15:00:00+00:00,2H,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Turan Turkistan | pred_total_home_away=76.6/23.4,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1547547,Bamboutos,Bafmeng United,Elite Two,Cameroon,2026-06-18T12:00:00+00:00,NS,70,MEDIUM_SIGNAL_REVIEW,prediction_winner=Bamboutos | pred_total_home_away=71.7/28.3,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1547549,Tonnerre,Yafoot,Elite Two,Cameroon,2026-06-18T14:00:00+00:00,FT,67,MEDIUM_SIGNAL_REVIEW,prediction_winner=Tonnerre | pred_total_home_away=64.3/35.7,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1547550,Union Douala,Sable,Elite Two,Cameroon,2026-06-18T12:00:00+00:00,FT,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sable | pred_total_home_away=36.6/63.4,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1509144,Dinamo Tbilisi,Samgurali,Erovnuli Liga,Georgia,2026-06-18T16:00:00+00:00,1H,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Dinamo Tbilisi | pred_total_home_away=53.5/46.5 | 1x2=1.65/3.40/4.50 | ou2.5=1.80/1.80,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1519581,Elva,Viimsi,Esiliiga A,Estonia,2026-06-18T16:00:00+00:00,HT,75,HIGH_SIGNAL_REVIEW,prediction_winner=Viimsi | pred_total_home_away=43.3/56.7 | 1x2=3.50/4.00/1.73 | ou2.5=1.50/2.50,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1521624,Johvi Phoenix,Legion,Esiliiga B,Estonia,2026-06-18T16:00:00+00:00,HT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Johvi Phoenix | pred_total_home_away=74.0/26.0 | 1x2=1.08/8.20/13.00 | ou2.5=2.00/1.62,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1521626,Luunja,JK Tabasalu,Esiliiga B,Estonia,2026-06-18T16:00:00+00:00,NS,90,HIGH_SIGNAL_REVIEW,prediction_winner=Luunja | pred_total_home_away=70.8/29.2 | 1x2=1.44/5.00/3.90,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1504468,Eskilsminne,Trollhättan,Ettan - Södra,Sweden,2026-06-18T17:00:00+00:00,NS,62,MEDIUM_SIGNAL_REVIEW,prediction_winner=Eskilsminne | pred_total_home_away=52.5/47.5 | 1x2=2.10/3.70/2.80 | ou2.5=1.48/2.50,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P2_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1504469,Jonkopings Sodra,Lund,Ettan - Södra,Sweden,2026-06-18T17:00:00+00:00,NS,89,HIGH_SIGNAL_REVIEW,prediction_winner=Jonkopings Sodra | pred_total_home_away=61.5/38.5 | 1x2=1.68/3.95/3.95 | ou2.5=1.48/2.50,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T17:48:35+01:00,1504471,Skövde AIK,Hässleholms IF,Ettan - Södra,Sweden,2026-06-18T17:00:00+00:00,NS,100,HIGH_SIGNAL_REVIEW,prediction_winner=Hässleholms IF | pred_total_home_away=27.6/72.4 | 1x2=2.85/3.40/2.20 | ou2.5=1.70/2.05,API_ENRICHED_PROMOTION_REVIEW_READY,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,P1_MANUAL_REVIEW,API_ENRICHED_REVIEW_READY,Candidate is ready for manual review panel only; canonical board remains blocked.,YES,NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,API_ENRICHED_REVIEW_BOARD_V1_NO_AUTO_APPLY,NO,NO
