target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,raw_trust_status,trust_reason,allowed_downstream_use,auto_apply,production_change
2026-06-04,2026-06-05T17:43:44+01:00,1546539,Division Intermedia,Paraguay,Paraguari AC,Atlético Tembetary,2026-06-04T20:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1512925,Elite One,Cameroon,Colombe,Unisport Bafang,2026-06-04T16:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1512927,Elite One,Cameroon,Fortuna Mfou,Aigle Royal de Moungo,2026-06-04T14:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1512924,Elite One,Cameroon,PWD Bamenda,Canon,2026-06-04T15:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1512928,Elite One,Cameroon,Panthère,Stade Renard,2026-06-04T16:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1512929,Elite One,Cameroon,Victoria United,Jeunes Fauves,2026-06-04T16:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1505171,Ettan - Norra,Sweden,AFC Eskilstuna,Karlberg,2026-06-04T18:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1504456,Ettan - Södra,Sweden,Laholm,Hässleholms IF,2026-06-04T18:00:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1531367,GFA League,Gambia,Fortune,BST Galaxy,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
2026-06-04,2026-06-05T17:43:44+01:00,1531368,GFA League,Gambia,GPA,Dutch Lions,2026-06-04T17:30:00+01:00,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,TRUSTED_RAW_SOURCE,source is not rejected and competition is not low-trust by token gate,SCORING_ALLOWED_WITH_NORMAL_GATES,NO,NO
