summary_scope,metric,rows_total,value_num,value_text,target_date,generated_at,pipeline_mode,candidate_version,source_file_date_check,run_id
by_final_execution_bucket,pushes,5,0.0,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,voids,5,0.0,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,profit_units_total,5,-1.64,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,roi_percent,5,-54.666667,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,avg_execution_score,5,127.459979,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_execution_bucket,avg_primary_edge,5,0.216,APPROVED_PREMIUM,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,shortlist_rows,5,5.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,result_available_rows,5,3.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,pending_rows,5,2.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,unmatched_rows,5,0.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,bet_rows,5,5.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,lean_play_rows,5,0.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,premium_rows,5,5.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
by_final_recommendation,standard_rows,5,0.0,BET,2026-05-21,2026-05-21T10:55:23+00:00,POST,OFFICIAL_RESULTS,NO_DATE_COLUMN,2026-05-21-20260521T105523Z
