date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_form_pts,away_form_pts,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_motivation,away_motivation,home_absences,away_absences,country,home_recent_matches,home_goals_for_pg,home_goals_against_pg,home_btts_rate,home_over15_rate,home_over25_rate,away_recent_matches,away_goals_for_pg,away_goals_against_pg,away_btts_rate,away_over15_rate,away_over25_rate,data_enrichment_level,data_enrichment_updated_at,home_stats_season_used,away_stats_season_used,data_enrichment_source,home_rank,home_points,home_goals_diff,home_played,home_table_goals_for,home_table_goals_against,home_urgency_score,away_rank,away_points,away_goals_diff,away_played,away_table_goals_for,away_table_goals_against,away_urgency_score,league_team_count,standings_context_updated_at,odds_1_home,odds_1_draw,odds_1_away,odds_btts_yes,odds_btts_no,odds_over_1_5,odds_under_1_5,odds_over_2_5,odds_under_2_5,odds_over_3_5,odds_under_3_5,odds_bookmakers_count,odds_values_count,odds_market_count,imp_1_home,imp_1_draw,imp_1_away,imp_btts_yes,imp_btts_no,imp_over_1_5,imp_over_2_5,imp_over_3_5,imp_under_3_5,odds_context_updated_at,odds_context_status,odds_context_v2_status,odds_context_v2_error
2026-05-05,Landesliga - Steiermark,229,2025,1465107,NS,Union RB Weinland Gamlit,8331,Ilz,8323,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465108,NS,Bad Waltersdorf,24454,Fürstenfeld,8320,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465109,NS,Wildon,8333,Schladming,21730,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Landesliga - Steiermark,229,2025,1465110,NS,Köflach,19310,Bruck an der Mur,8318,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Championnat D1,968,2025,1543839,NS,Bouenguidi,15564,Bitam,21187,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Gabon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Ligi kuu Bara,567,2025,1477214,NS,Azam,8057,Namungo,12197,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,A Lyga,362,2026,1522798,NS,Kauno Žalgiris,3872,Džiugas Telšiai,3860,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,4. liga - Divizie B,351,2025,1490036,NS,Chomutov,7282,Újezd Praha 4,19439,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Czech-Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Veikkausliiga,244,2026,1495672,NS,Gnistan,2082,Inter Turku,1164,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-05,Erovnuli Liga,327,2026,1509112,NS,Torpedo Kutaisi,685,Rustavi,3501,,,,,,,,,,,,,,,5.0,5.0,0.0,0.0,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
