date,league,league_id,season,fixture_id,status,home_team,home_team_id,away_team,away_team_id,country,fixture_status_short,fixture_status_long,fixture_status_elapsed,goals_home,goals_away,score_fulltime_home,score_fulltime_away,score_halftime_home,score_halftime_away,score_extratime_home,score_extratime_away,score_penalty_home,score_penalty_away,home_xg_for,home_xg_against,away_xg_for,away_xg_against,home_sot_for,away_sot_for,home_big_for,away_big_for,home_motivation,away_motivation,home_absences,away_absences,today_pipeline_fetched_at,home_recent_matches,away_recent_matches,home_form_pts,away_form_pts,home_goals_for_pg,away_goals_for_pg,home_goals_against_pg,away_goals_against_pg,home_scored_rate,away_scored_rate,home_clean_sheet_rate,away_clean_sheet_rate,home_btts_rate,away_btts_rate,home_over15_rate,away_over15_rate,home_over25_rate,away_over25_rate,home_stats_season_used,away_stats_season_used,data_enrichment_level
2026-05-10,3. liga - MSFL,349,2025,1487422,NS,Slovácko II,8623,Vsetín,7377,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255798+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,4. liga - Divizie F,686,2025,1487799,NS,Havířov,7293,Pustá Polom,24188,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255802+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - CFL B,685,2025,1489558,NS,Hradec Králové II,14495,Arsenal Česká Lípa,7270,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255812+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - CFL A,348,2025,1489692,NS,Bohemians 1905 II,14473,České Budějovice II,8629,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255816+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - CFL A,348,2025,1489693,NS,Dukla Praha II,15132,Sokol Hostouň,7350,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255819+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Liga 1,274,2025,1403845,NS,Persija,10134,Persib Bandung,2445,Indonesia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255823+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Liga 1,274,2025,1403846,NS,Persita,4244,Persijap,11132,Indonesia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255826+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - Center,646,2025,1422095,NS,Ružomberok II,10541,Podkonice,15025,Slovakia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255829+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - Center,646,2025,1422096,NS,Banská Byst II,26242,Dolný Kubín,14956,Slovakia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255834+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - West,644,2025,1422485,NS,Rača,14046,Komárno II,26245,Slovakia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255837+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - MSFL,349,2025,1487426,NS,Zlín II,8625,Karviná II,15134,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255841+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,4. liga - Divizie D,353,2025,1487578,NS,Znojmo,3734,Pelhřimov,21651,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255844+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Druha Liga,336,2025,1521811,NS,Chornomorets II,9148,Lokomotiv Kyiv,21954,Ukraine,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255848+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Liga II,284,2025,1534000,NS,Bihor Oradea,20033,CSA Steaua Bucureşti,7466,Romania,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255862+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Oberliga - Hamburg,745,2025,1408049,NS,HEBC,16078,ETSV Hamburg,20851,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255866+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,1a Divisió,312,2025,1396758,NS,Esperança d'Andorra,19195,UE Santa Coloma,703,Andorra,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255870+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,1a Divisió,312,2025,1396759,NS,FC Santa Coloma,591,Ordino,3344,Andorra,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255874+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,1a Divisió,312,2025,1396760,NS,Inter Club d'Escaldes,3342,Atlètic Club d'Escaldes,3345,Andorra,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255879+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,1a Divisió,312,2025,1396762,NS,Penya Encarnada,3352,Ranger's,3353,Andorra,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255883+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Campionato Primavera - 1,705,2025,1404647,NS,Napoli U20,26436,Lecce U20,24736,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255887+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Campionato Primavera - 1,705,2025,1404649,NS,Torino U20,24742,Lazio U20,24735,Italy,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255891+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,NB III - Southwest,634,2025,1414517,NS,Szekszárd,5138,Ferencváros II,11861,Hungary,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255894+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,NB III - Southeast,1023,2025,1414728,NS,Honvéd II,11853,Tiszaföldvár,15199,Hungary,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255898+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,NB III - Northwest,635,2025,1414951,NS,Gyori ETO II,11851,Balatonfüredi,5073,Hungary,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255902+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,NB III - Northeast,633,2025,1415152,NS,Diósgyőr II,13154,Debrecen II,13153,Hungary,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255906+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - East,645,2025,1422269,NS,Košice II,26243,Humenné,14068,Slovakia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255910+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,2. Frauen Bundesliga,1034,2025,1442414,NS,Bayern München II W,22295,Meppen W,14013,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255914+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,3. liga - CFL B,685,2025,1489559,NS,Teplice II,12877,Velké Hamry,7372,Czech-Republic,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255919+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,U19 Bundesliga,488,2025,1518616,NS,1860 München U19,13965,Rot-Weiß Walldorf U19,25494,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255924+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,U19 Bundesliga,488,2025,1518621,NS,Fortuna Düsseldorf U19,10254,SG Unterrath U19,27469,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255928+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Druha Liga,336,2025,1521816,NS,Penuel,26189,Dinaz Vyshhorod,6487,Ukraine,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255932+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Second League A - Division A Gold,1025,2025,1527820,NS,Novosibirsk,6819,Leningradets,6811,Russia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255936+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Srpska Liga - Vojvodina,573,2025,1529847,NS,Omladinac NB,12330,Jedinstvo Stara Pazova,14260,Serbia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255940+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Premier League,393,2025,1544138,NS,Naxxar Lions,4605,Mosta,4627,Malta,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255944+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Premier League,393,2025,1544398,NS,Zabbar St. Patrick,4622,Tarxien Rainbows,4629,Malta,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255948+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,U19 Bundesliga,488,2025,1544513,NS,Köln U19,10265,Heidenheim U19,10259,Germany,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255952+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Premier League,235,2025,1400261,NS,FC Orenburg,1080,Krylia Sovetov,1079,Russia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255960+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460098,NS,Trival Valderas,9718,Alcorcón II,9706,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255964+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460099,NS,Villaverde-Boetticher,9720,SS Reyes II,26545,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255968+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460100,NS,Unión Adarve,9719,Racing Madrid,26544,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255972+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460101,NS,A Madrid III,26543,Móstoles,9712,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255976+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460102,NS,Villanueva Pardillo,15353,Carabanchel,9708,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255980+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460103,NS,Leganés II,9710,Alcobendas Sport,9705,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255983+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460104,NS,Pozuelo Alarcón,9713,Tres Cantos,17560,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255987+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460105,NS,Torrejón,9717,AD Parla,9704,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255991+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Tercera División RFEF - Group 7,445,2025,1460106,NS,Galapagar,17516,Las Rozas,9395,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255994+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Esiliiga B,1126,2026,1521596,NS,Narva U21,24236,Levadia U19,7906,Estonia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.255998+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Esiliiga B,1126,2026,1521598,NS,Tulevik,3531,Tallinna Kalev II,3522,Estonia,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256002+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Super League,169,2026,1523141,NS,Qingdao Youth Island,17265,Wuhan Three Towns,5695,China,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256006+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Segunda División RFEF - Play-offs,1000,2025,1544490,NS,Getafe II,9572,UD Logroñés,5280,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256009+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Druha Liga,336,2025,1521809,NS,Atlet,26187,Nyva Vinnytsya,6494,Ukraine,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256013+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,I Liga,107,2025,1381800,NS,Polonia Warszawa,16239,Górnik Łęczna,6941,Poland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256017+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Primera División Femenina,142,2025,1397276,NS,Levante W,1911,Edf Logrono W,1923,Spain,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256020+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,Persha Liga,334,2025,1400620,NS,Prykarpattia,3631,Metalurh Zaporizhya,5627,Ukraine,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256026+00:00,,,,,,,,,,,,,,,,,,,,,
2026-05-10,III Liga - Group 1,780,2025,1410421,NS,Widzew II,26178,Olimpia Elbląg,6945,Poland,NS,Not Started,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-05-10T07:28:30.256029+00:00,,,,,,,,,,,,,,,,,,,,,
