target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,source_path,source_status,discovery_reason,auto_apply,production_change
2026-08-10,2026-08-10T19:09:58+01:00,1519611,Esiliiga A,Estonia,Flora II,Nõmme Kalju II,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1521658,Esiliiga B,Estonia,Luunja,Parnu JK Vaprus U21,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1602969,First League,Armenia,Andranik,Shirak II,2026-08-10T14:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1602971,First League,Armenia,Banants II,Noah II,2026-08-10T16:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1551068,First League,Bulgaria,Botev Plovdiv,Spartak Varna,2026-08-10T19:15:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1551069,First League,Bulgaria,Botev Vratsa,Slavia Sofia,2026-08-10T17:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1602970,First League,Armenia,Mika,Pyunik II,2026-08-10T14:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1558173,I Liga,Poland,Unia Skierniewice,Arka Gdynia,2026-08-10T18:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1567409,League Cup,England,Plymouth,Exeter City,2026-08-10T20:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1565207,Liga I,Romania,CFR 1907 Cluj,Universitatea Cluj,2026-08-10T19:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1565210,Liga I,Romania,FC Botosani,Corvinul Hunedoara,2026-08-10T16:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1565212,Liga I,Romania,Sepsi OSK Sfantu Gheorghe,FCSB,2026-08-10T19:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1519446,Liga Pro,Ecuador,Libertad,Universidad Catolica,2026-08-10T22:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1519447,Liga Pro,Ecuador,Tecnico Universitario,Mushuc Runa SC,2026-08-10T20:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1493049,Liga Profesional Argentina,Argentina,Banfield,Belgrano Cordoba,2026-08-10T23:00:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
2026-08-10,2026-08-10T19:09:58+01:00,1506509,Meistaradeildin,Faroe-Islands,KI Klaksvik,HB Torshavn,2026-08-10T18:30:00+01:00,data/processed/matches_league_rejected.csv,LOCAL_RAW_DISCOVERY,existing local row has fixture identity and is not blocked,NO,NO
