target_date,generated_at,fixture_id,home_team,away_team,home_sources,away_sources,home_consensus_players,away_consensus_players,home_avg_agreement,away_avg_agreement,home_weighted_agreement,away_weighted_agreement,home_probable_confidence,away_probable_confidence,accepted_home_sources,accepted_away_sources,rejected_home_sources,rejected_away_sources,probable_lineup_gate,missing_reason,source_registry_guard,source_guard,auto_apply,production_change
2026-08-13,2026-08-13T19:13:55+01:00,1607571,Pafos,Red Bull Salzburg,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1606076,Santos,Macara,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607623,Shkendija,Hibernian,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1547761,Mirassol,LDU de Quito,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607602,Austria Vienna,Beitar Jerusalem,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607617,Motherwell,HJK Helsinki,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607618,FC Nordsjaelland,Valur Reykjavik,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607199,Vasco DA Gama,Olimpia,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607650,Santa Fe,River Plate,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607566,Anderlecht,PAOK,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607604,Dinamo Tirana,Auda,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607627,FK Tobol Kostanay,FK Partizan,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607611,HNK Hajduk Split,FK Zalgiris Vilnius,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607620,Qarabag,Dynamo Kyiv,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607621,Rīgas FS,FK Jablonec,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607568,CSKA Sofia,Maccabi Tel Aviv,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1607569,Gornik Zabrze,Ferencvarosi TC,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
2026-08-13,2026-08-13T19:13:55+01:00,1547790,Astillero FC (Ecu),Daquilema FC,0,0,0,0,0.000,0.000,0.000,0.000,NO_APPROVED_SOURCES,NO_APPROVED_SOURCES,,,,,NO_PROBABLE_LINEUP_SOURCES,no approved probable lineup sources available,registry_sources=15; accepted_rows=0; rejected_groups=0,fixtures=matches_vsigma_scored_v3.csv; probable_sources=NO_SOURCE_FILE,NO,NO
