target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_status,result_status,home_goals,away_goals,actual_result,prediction_winner,predicted_side,candidate_signal_score,candidate_signal_band,review_priority,market_signal_summary,api_1x2_result,api_double_chance_result,api_dnb_result,over_1_5_result,over_2_5_result,under_3_5_result,btts_result,accuracy_bucket,evaluation_note,canonical_board_permission,pick_permission,stake_permission,auto_apply,production_change
2026-06-19,2026-06-19T12:52:40+01:00,1550056,Al Shouleh,Tishreen,Premier League,Syria,NS,PENDING_RESULT,,,UNKNOWN,Tishreen,AWAY,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Tishreen | pred_total_home_away=24.8/75.3,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1550057,Al Wahda,Al Ittihad,Premier League,Syria,NS,PENDING_RESULT,,,UNKNOWN,Al Ittihad,AWAY,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Al Ittihad | pred_total_home_away=35.0/65.0,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1550058,Horriya,Damascus Al-Ahli,Premier League,Syria,NS,PENDING_RESULT,,,UNKNOWN,Damascus Al-Ahli,AWAY,68,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Damascus Al-Ahli | pred_total_home_away=35.6/64.4,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1550059,Hottin,Khan Shaykhun SC,Premier League,Syria,NS,PENDING_RESULT,,,UNKNOWN,Hottin,HOME,65,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Hottin | pred_total_home_away=63.5/36.8,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1550060,Jabala,Wathba,Premier League,Syria,NS,PENDING_RESULT,,,UNKNOWN,Wathba,AWAY,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Wathba | pred_total_home_away=25.8/74.2,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1525899,Naftan,Baranovichi,Premier League,Belarus,NS,PENDING_RESULT,,,UNKNOWN,Baranovichi,AWAY,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Baranovichi | pred_total_home_away=33.4/66.6,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1529745,Babrungas,Be1 NFA,1 Lyga,Lithuania,NS,PENDING_RESULT,,,UNKNOWN,Babrungas,HOME,78,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Babrungas | pred_total_home_away=57.8/42.2 | 1x2=2.05/3.35/3.00 | ou2.5=1.73/1.90,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1548697,Levski Sofia,Akademik Svishtov,Friendlies Clubs,World,NS,PENDING_RESULT,,,UNKNOWN,Levski Sofia,HOME,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Levski Sofia | pred_total_home_away=67.0/33.0,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1554471,Liptovský Mikuláš,Baník Lehota p.Vtáčnikom,Friendlies Clubs,World,NS,PENDING_RESULT,,,UNKNOWN,Liptovský Mikuláš,HOME,63,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Liptovský Mikuláš | pred_total_home_away=63.0/37.2,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-19,2026-06-19T12:52:40+01:00,1554473,Grazer AK,Gyori ETO FC,Friendlies Clubs,World,NS,PENDING_RESULT,,,UNKNOWN,Grazer AK,HOME,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Grazer AK | pred_total_home_away=71.0/29.0 | 1x2=2.40/3.50/2.40 | ou2.5=1.57/2.10,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
