target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_status,result_status,home_goals,away_goals,actual_result,prediction_winner,predicted_side,candidate_signal_score,candidate_signal_band,review_priority,market_signal_summary,api_1x2_result,api_double_chance_result,api_dnb_result,over_1_5_result,over_2_5_result,under_3_5_result,btts_result,accuracy_bucket,evaluation_note,canonical_board_permission,pick_permission,stake_permission,auto_apply,production_change
2026-06-08,2026-06-09T21:52:34+01:00,1547532,Foncha ST,Tonnerre,Elite Two,Cameroon,FT,FINISHED_RESULT,0,3,AWAY,Tonnerre,AWAY,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Tonnerre | pred_total_home_away=35.0/65.0,HIT,HIT,HIT,HIT,HIT,HIT,MISS,STRONG_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1547533,Sable,Bafmeng United,Elite Two,Cameroon,FT,FINISHED_RESULT,1,1,DRAW,Sable,HOME,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Sable | pred_total_home_away=68.5/31.5,MISS,HIT,VOID,HIT,MISS,HIT,HIT,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1548054,Almeria,Castellón,Segunda División,Spain,2H,PENDING_RESULT,2,2,DRAW,Castellón,AWAY,89,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Castellón | pred_total_home_away=38.5/61.5 | 1x2=2.28/3.50/2.90 | ou2.5=1.70/2.10,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,PENDING_RESULT,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1548327,FUS Rabat,Difaa EL Jadida,Botola Pro,Morocco,FT,FINISHED_RESULT,0,0,DRAW,FUS Rabat,HOME,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=FUS Rabat | pred_total_home_away=65.7/34.3 | 1x2=1.77/3.25/4.40 | ou2.5=2.20/1.62,MISS,HIT,VOID,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1548328,Renaissance Berkane,Ittihad Tanger,Botola Pro,Morocco,FT,FINISHED_RESULT,1,0,HOME,Renaissance Berkane,HOME,90,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Renaissance Berkane | pred_total_home_away=61.8/38.2 | 1x2=1.65/3.30/5.20 | ou2.5=2.20/1.62,HIT,HIT,HIT,MISS,MISS,HIT,MISS,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1548329,Wydad AC,Olympique Safi,Botola Pro,Morocco,FT,FINISHED_RESULT,1,0,HOME,Wydad AC,HOME,100,HIGH_SIGNAL_REVIEW,P1_MANUAL_REVIEW,prediction_winner=Wydad AC | pred_total_home_away=66.3/33.7 | 1x2=1.45/3.75/6.75 | ou2.5=1.93/1.80,HIT,HIT,HIT,MISS,MISS,HIT,MISS,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1548330,Olympique Dcheïra,Hassania Agadir,Botola Pro,Morocco,FT,FINISHED_RESULT,0,1,AWAY,Olympique Dcheïra,HOME,55,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Olympique Dcheïra | pred_total_home_away=49.8/50.2 | 1x2=3.20/2.85/2.33 | ou2.5=2.35/1.55,MISS,MISS,MISS,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1550045,Baghdad,Karbala,Iraqi League,Iraq,FT,FINISHED_RESULT,0,1,AWAY,Baghdad,HOME,70,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Baghdad | pred_total_home_away=71.0/29.0,MISS,MISS,MISS,MISS,MISS,HIT,MISS,SIGNAL_FAILED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-08,2026-06-09T21:52:34+01:00,1550760,Uni Souza,Barcelona RJ,Carioca C,Brazil,FT,FINISHED_RESULT,2,0,HOME,Uni Souza,HOME,61,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Uni Souza | pred_total_home_away=52.3/47.8 | 1x2=1.53/3.80/4.80 | ou2.5=1.55/2.15,HIT,HIT,HIT,HIT,MISS,HIT,MISS,STRONG_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
2026-06-10,2026-06-14T16:29:34+01:00,1495293,Dynamos,Hunters,Premier Soccer League,Zimbabwe,FT,FINISHED_RESULT,2,2,DRAW,Dynamos,HOME,65,MEDIUM_SIGNAL_REVIEW,P2_MANUAL_REVIEW,prediction_winner=Dynamos | pred_total_home_away=63.5/36.8,MISS,HIT,VOID,HIT,HIT,MISS,HIT,PARTIAL_SIGNAL_VALIDATED,"Postmatch evaluation only. This ledger cannot create picks, stake, or canonical board permission.",NO_CANONICAL_BOARD_PERMISSION,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,NO,NO
