target_date,generated_at,fixture_id,home_team,away_team,forecast_confidence,forecast_warning,actual_status,actual_home_goals,actual_away_goals,actual_total_goals,pred_home_goals_low,pred_home_goals_mid,pred_home_goals_high,home_goals_hit,home_goals_abs_error_mid,pred_away_goals_low,pred_away_goals_mid,pred_away_goals_high,away_goals_hit,away_goals_abs_error_mid,pred_total_goals_low,pred_total_goals_mid,pred_total_goals_high,total_goals_hit,total_goals_abs_error_mid,actual_home_sot,actual_away_sot,actual_total_sot,pred_total_sot_low,pred_total_sot_mid,pred_total_sot_high,total_sot_hit,total_sot_abs_error_mid,actual_home_corners,actual_away_corners,actual_total_corners,total_corners_hit,total_corners_abs_error_mid,actual_home_cards,actual_away_cards,actual_total_cards,total_cards_hit,total_cards_abs_error_mid,actual_home_fouls,actual_away_fouls,actual_total_fouls,total_fouls_hit,total_fouls_abs_error_mid,available_actual_metrics,range_hits,range_misses,forecast_grade,calibration_note,source_guard,auto_apply,production_change
2026-05-29,2026-05-29T19:16:46+01:00,1535314,Boca Juniors,U. Catolica,MEDIUM,LINEUPS_INACTIVE; PARTIAL_RECENT_STATS,FT,0,1,1,1.01,1.56,2.12,MISS,1.56,0.65,1.06,1.47,HIT,0.06,1.87,2.62,3.38,MISS,1.62,2,1,3,5,8,11,MISS,5.00,9,2,11,MISS,4.00,2,2,4,HIT,3.00,6,16,22,HIT,1.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,3,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1494677,Brann,Sarpsborg 08 FF,LOW,LINEUPS_INACTIVE; AVAILABILITY_RISK; PARTIAL_RECENT_STATS,2H,,,,1.27,1.94,2.60,ACTUAL_UNAVAILABLE,,0.65,1.06,1.47,ACTUAL_UNAVAILABLE,,2.16,3.00,3.84,ACTUAL_UNAVAILABLE,,,,,6,9,12,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1494679,KFUM Oslo,Tromso,LOW,LINEUPS_INACTIVE; AVAILABILITY_RISK; PARTIAL_RECENT_STATS,2H,,,,0.70,1.12,1.55,ACTUAL_UNAVAILABLE,,1.10,1.69,2.28,ACTUAL_UNAVAILABLE,,2.02,2.81,3.61,ACTUAL_UNAVAILABLE,,,,,6,9,12,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1533660,El Mokawloon,Future FC,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,FT,3,1,4,0.73,1.25,1.77,MISS,1.75,0.63,1.10,1.57,HIT,0.10,1.58,2.35,3.12,MISS,1.65,9,3,12,5,8,11,MISS,4.00,10,6,16,MISS,7.00,,,,ACTUAL_UNAVAILABLE,,11,13,24,HIT,0.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_fouls,2,4,D_RANGE_WEAK,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1533662,Ghazl El Mehalla,Haras El Hodood,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,2H,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1533659,Masr,Kahraba Ismailia,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,FT,1,1,2,0.73,1.25,1.77,HIT,0.25,0.63,1.10,1.57,HIT,0.10,1.58,2.35,3.12,HIT,0.35,5,7,12,5,8,11,MISS,4.00,2,7,9,HIT,0.00,2,1,3,HIT,1.00,6,6,12,MISS,12.00,home_goals; away_goals; total_goals; total_sot; total_corners; total_cards; total_fouls,5,2,B_RANGE_GOOD,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1533658,National Bank of Egypt,Al Ittihad,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,2H,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1522819,FK Trakai,Suduva Marijampole,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,2H,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1522817,TransINVEST Vilnius,Hegelmann Litauen,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,FT,2,1,3,0.73,1.25,1.77,MISS,0.75,0.63,1.10,1.57,HIT,0.10,1.58,2.35,3.12,HIT,0.65,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,home_goals; away_goals; total_goals,2,1,C_RANGE_MIXED,v45.1 grades only final fixtures and only metrics with actual data available; corners/cards/fouls require post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
2026-05-29,2026-05-29T19:16:46+01:00,1542934,Cde Juventud Italiana,Tecnico Universitario,LOW,PARTIAL_RECENT_STATS; SHOT_SAMPLE_WEAK; CORNER_SAMPLE_WEAK; CARD_SAMPLE_WEAK,NS,,,,0.73,1.25,1.77,ACTUAL_UNAVAILABLE,,0.63,1.10,1.57,ACTUAL_UNAVAILABLE,,1.58,2.35,3.12,ACTUAL_UNAVAILABLE,,,,,5,8,11,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,,,,ACTUAL_UNAVAILABLE,,none,0,0,NO_ACTUALS_YET,v45.1 refuses to grade non-final fixtures; wait for FT/AET/PEN and post-match stat enrichment.,DATED_INPUT_ONLY,NO,NO
