target_date,generated_at,fixture_id,league,country,home_team,away_team,fixture_datetime_utc,promotion_status,promotion_reason,source_path,allowed_downstream_use,auto_apply,production_change
2026-06-10,2026-06-12T23:55:22+01:00,1550654,Championnat D1,Gabon,FC 105,Pélican,2026-06-10T15:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550656,Championnat D1,Gabon,Oyem AC,Bitam,2026-06-10T15:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1550658,Championnat D1,Gabon,Vautour Club,US Oyem,2026-06-10T15:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1545809,Cup,Iceland,Afturelding,Stjarnan,2026-06-10T20:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551255,Cup,Estonia,Phoenix,Elva III,2026-06-10T17:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551254,Cup,Estonia,Rakvere FC Freedom,Kena,2026-06-10T16:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551257,Cup,Estonia,Saue,Viimsi,2026-06-10T17:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551258,Cup,Estonia,Tartu Kalev,Paide III,2026-06-10T17:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551256,Cup,Estonia,Trans Narva,Vana Hea Puur,2026-06-10T17:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1551259,Cup,Estonia,Volta II / Arsenal,Tallinna Kalev II,2026-06-10T18:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1515751,Division 2 - Norrland,Sweden,Fransta,IFK Östersund,2026-06-10T18:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1512952,Elite One,Cameroon,Aigle Royal,Panthère,2026-06-10T14:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1512954,Elite One,Cameroon,Canon,Victoria United,2026-06-10T14:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1512953,Elite One,Cameroon,Unisport Bafang,Dynamo de Douala,2026-06-10T14:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1531375,GFA League,Gambia,Bombada,Medina United,2026-06-10T17:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1531376,GFA League,Gambia,Hawks,GPA,2026-06-10T17:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1531377,GFA League,Gambia,Team Rhino,Real de Banjul,2026-06-10T17:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1546776,Ligue 1,Congo-DR,Céleste,Simba,2026-06-10T13:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1546775,Ligue 1,Congo-DR,Vita Club,Maniema Union,2026-06-10T15:00:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
2026-06-10,2026-06-12T23:55:22+01:00,1544782,Maranhense - 2,Brazil,Araioses,Americano Bacabal,2026-06-10T19:30:00+01:00,TRUSTED_SOURCE_BUT_NO_SCORED_ROW,trusted raw candidate has no matching scored row,data/processed/governance/vsigma_raw_candidate_trust_gate.csv,WAIT_SCORING,NO,NO
