target_date,generated_at,fixture_id,home_team,away_team,status,goals,stats_status,updated_fields,source_guard
2026-06-19,2026-06-19T12:03:01+01:00,1545491,Langfang Glory City,Dalian Zhixing,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1545492,Jiangxi Liansheng,Henan Jianye,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1545493,Rizhao Yuqi,Tianjin Teda,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1534769,Shakhter Karagandy,Jaiyq,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1534341,Minsk II,Volna,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1534768,Khan Tengri,Taraz,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550054,Jaish,Foutoua,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550055,Al Karama,Shorta,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550056,Al Shouleh,Tishreen,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550057,Al Wahda,Al Ittihad,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550058,Horriya,Damascus Al-Ahli,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550059,Hottin,Khan Shaykhun SC,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
2026-06-19,2026-06-19T12:03:01+01:00,1550060,Jabala,Wathba,NS,None-None,NOT_FINAL,fixture_status_short;fixture_status_long;results_last_refresh_at,DATED_INPUT_ONLY
