target_date,generated_at,fixture_id,home_team,away_team,league,country,fixture_date_utc,fixture_status,candidate_signal_score,candidate_signal_band,market_signal_summary,promotion_input_status,promotion_permission,adapter_status,adapter_reason,allowed_downstream_use,promotion_candidate_type,pick_permission,stake_permission,source_guard,auto_apply,production_change
2026-06-21,2026-06-21T16:35:51+01:00,1493547,Brooklyn,Tampa Bay Rowdies,USL Championship,USA,2026-06-20T23:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Tampa Bay Rowdies | pred_total_home_away=26.3/73.8 | 1x2=4.75/3.75/1.60 | ou2.5=1.62/2.20,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493870,Corpus Christi,Sarasota Paradise,USL League One,USA,2026-06-21T00:30:00+00:00,FT,65,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sarasota Paradise | pred_total_home_away=46.4/53.6 | 1x2=2.05/3.40/3.20 | ou2.5=1.80/1.93,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493874,Spokane Velocity,One Knoxville,USL League One,USA,2026-06-21T01:00:00+00:00,FT,88,HIGH_SIGNAL_REVIEW,prediction_winner=One Knoxville | pred_total_home_away=38.7/61.3 | 1x2=2.25/3.10/3.10 | ou2.5=2.20/1.62,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1553055,Carlos A. Mannucci,Alianza Lima,Copa De La Liga,Peru,2026-06-21T01:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Alianza Lima | pred_total_home_away=8.0/92.0 | 1x2=1.33/4.80/6.80 | ou2.5=1.73/2.00,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493868,Boise,Union Omaha,USL League One,USA,2026-06-21T01:30:00+00:00,FT,81,HIGH_SIGNAL_REVIEW,prediction_winner=Union Omaha | pred_total_home_away=41.2/58.8 | 1x2=2.20/3.55/2.75 | ou2.5=1.62/2.20,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493550,Monterey Bay,El Paso Locomotive,USL Championship,USA,2026-06-21T02:00:00+00:00,FT,64,MEDIUM_SIGNAL_REVIEW,prediction_winner=Monterey Bay | pred_total_home_away=46.7/53.3 | 1x2=2.65/3.20/2.40 | ou2.5=1.95/1.77,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493552,Phoenix Rising,Oakland Roots,USL Championship,USA,2026-06-21T02:30:00+00:00,FT,73,MEDIUM_SIGNAL_REVIEW,prediction_winner=Phoenix Rising | pred_total_home_away=56.3/43.7 | 1x2=2.10/3.50/2.90 | ou2.5=1.65/2.15,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493704,Las Vegas Lights,Orange County SC,USL Championship,USA,2026-06-21T02:30:00+00:00,FT,78,HIGH_SIGNAL_REVIEW,prediction_winner=Las Vegas Lights | pred_total_home_away=57.8/42.3 | 1x2=2.25/3.40/2.80 | ou2.5=1.77/1.95,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1493553,Sacramento Republic,New Mexico United,USL Championship,USA,2026-06-21T03:00:00+00:00,FT,86,HIGH_SIGNAL_REVIEW,prediction_winner=Sacramento Republic | pred_total_home_away=60.5/39.5 | 1x2=1.70/3.55/4.33 | ou2.5=1.85/1.85,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1523772,Maitland,Hamilton Olympic,Northern NSW NPL,Australia,2026-06-21T03:00:00+00:00,FT,59,MEDIUM_SIGNAL_REVIEW,prediction_winner=Maitland | pred_total_home_away=51.7/48.5 | 1x2=1.85/3.80/3.25 | ou2.5=2.60/1.44,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1517575,Sydney United,SD Raiders,New South Wales NPL,Australia,2026-06-21T04:30:00+00:00,FT,62,MEDIUM_SIGNAL_REVIEW,prediction_winner=Sydney United | pred_total_home_away=52.5/47.8 | 1x2=1.40/4.20/6.50 | ou2.5=1.65/2.15,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1517574,Blacktown City,APIA Leichhardt Tigers,New South Wales NPL,Australia,2026-06-21T05:00:00+00:00,FT,92,HIGH_SIGNAL_REVIEW,prediction_winner=APIA Leichhardt Tigers | pred_total_home_away=37.5/62.5 | 1x2=4.20/3.90/1.65 | ou2.5=1.57/2.30,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1517665,Marconi Stallions,UNSW,New South Wales NPL,Australia,2026-06-21T05:00:00+00:00,FT,88,HIGH_SIGNAL_REVIEW,prediction_winner=Marconi Stallions | pred_total_home_away=61.0/39.0 | 1x2=1.36/4.33/7.00 | ou2.5=1.67/2.10,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1520508,Busan Transportation,Gyeongju HNP,K3 League,South-Korea,2026-06-21T05:00:00+00:00,FT,79,HIGH_SIGNAL_REVIEW,prediction_winner=Busan Transportation | pred_total_home_away=58.2/41.8 | 1x2=2.55/3.20/2.40 | ou2.5=1.90/1.73,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1523773,Kahibah,Charlestown City Blues,Northern NSW NPL,Australia,2026-06-21T05:00:00+00:00,FT,89,HIGH_SIGNAL_REVIEW,prediction_winner=Charlestown City Blues | pred_total_home_away=38.5/61.5 | 1x2=3.80/4.00/1.67 | ou2.5=2.70/1.40,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1524057,Olympic,Peninsula Power,Queensland NPL,Australia,2026-06-21T06:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Peninsula Power | pred_total_home_away=21.4/78.8 | 1x2=4.20/4.33/1.60 | ou2.5=1.42/2.70,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1521961,St. Albans Saints,Altona Magic,Victoria NPL,Australia,2026-06-21T07:00:00+00:00,FT,64,MEDIUM_SIGNAL_REVIEW,prediction_winner=Altona Magic | pred_total_home_away=46.8/53.2 | 1x2=2.05/3.40/3.10 | ou2.5=1.80/1.93,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1524058,Lions,Rochedale Rovers,Queensland NPL,Australia,2026-06-21T07:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Lions | pred_total_home_away=69.7/30.3 | 1x2=1.14/7.00/12.00 | ou2.5=2.15/1.62,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1520510,Pocheon,Gangneung City,K3 League,South-Korea,2026-06-21T09:00:00+00:00,FT,100,HIGH_SIGNAL_REVIEW,prediction_winner=Pocheon | pred_total_home_away=67.3/32.7 | 1x2=1.60/3.40/5.00 | ou2.5=1.90/1.73,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1553807,Novosibirsk,Veles,Second League A - Division A Gold,Russia,2026-06-21T09:00:00+00:00,FT,73,MEDIUM_SIGNAL_REVIEW,prediction_winner=Veles | pred_total_home_away=43.7/56.3 | 1x2=2.07/3.14/3.22 | ou2.5=1.98/1.72,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1496085,Arendal,Træff,2. Division - Group 1,Norway,2026-06-21T10:00:00+00:00,FT,60,MEDIUM_SIGNAL_REVIEW,prediction_winner=Arendal | pred_total_home_away=52.0/48.2 | 1x2=2.38/3.50/2.55 | ou2.5=1.62/2.20,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1541099,Awassa Kenema,Bahardar,Premier League,Ethiopia,2026-06-21T10:00:00+00:00,FT,60,MEDIUM_SIGNAL_REVIEW,prediction_winner=Bahardar | pred_total_home_away=45.0/55.0 | 1x2=2.20/2.60/3.55,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T16:35:51+01:00,1496268,Hønefoss,Eidsvold,2. Division - Group 2,Norway,2026-06-21T11:00:00+00:00,FT,92,HIGH_SIGNAL_REVIEW,prediction_winner=Eidsvold | pred_total_home_away=37.5/62.5 | 1x2=2.35/4.00/2.35 | ou2.5=2.30/1.55,PROMOTION_INPUT_READY_REVIEW_ONLY,REVIEW_ONLY_PROMOTION_INPUT,API_ENRICHED_PROMOTION_REVIEW_READY,API-enriched candidate may be reviewed by normal scoring/promotion gates; no pick permission.,SCORING_REVIEW_ONLY_WITH_NORMAL_GATES,API_ENRICHED_REVIEW_ONLY,NO_PICK_PERMISSION,NO_STAKE_PERMISSION,PROMOTION_GATE_ADAPTER_V1_NO_AUTO_APPLY,NO,NO
