ledger_id,target_date,generated_at,fixture_id,league,home_team,away_team,market_primary,candidate_present,official_action,executable_now,final_block_reason,retry_allowed,next_retry_time,execution_family_status,decision_source,competition_calibrated_prob,accuracy_confidence_score,accuracy_primary_risk,resolver_run_id,cloud_summary_status,is_actionable,is_non_actionable,is_expired,is_waiting,is_blocked,is_technical_review
2026-05-24::1545796::OVER_1_5::NO_BET,2026-05-24,2026-05-24T21:18:29+01:00,1545796.0,Serie B,Catanzaro,Monza,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.819,125.787,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T115958Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-24::1492276::OVER_1_5::NO_BET,2026-05-24,2026-05-24T21:18:29+01:00,1492276.0,Serie A,Remo,Atletico Paranaense,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.7612,110.058,FAILURE_MODE_LOW_CONVERSION,2026-05-24-20260524T115958Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-25::1494179::OVER_1_5::WAIT,2026-05-25,2026-05-25T00:47:38+01:00,1494179.0,Allsvenskan,IFK Goteborg,Mjallby AIF,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-25T17:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.81736,154.173,FAILURE_MODE_LOW_CONVERSION,2026-05-25-20260524T234728Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-25::1545418::OVER_2_5::WAIT,2026-05-25,2026-05-25T00:47:38+01:00,1545418.0,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_2_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-25T18:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.807425,133.361,FAILURE_MODE_LOW_CONVERSION,2026-05-25-20260524T234728Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-25::1545418::OVER_1_5::WAIT,2026-05-25,2026-05-25T17:38:21+01:00,1545418.0,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-25T18:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.85476,155.046,FAILURE_MODE_LOW_CONVERSION,2026-05-25-20260525T163616Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-25::1494178::OVER_2_5::EXECUTABLE,2026-05-25,2026-05-25T17:38:21+01:00,1494178.0,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.821525,131.523,FAILURE_MODE_LOW_CONVERSION,2026-05-25-20260525T163616Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-25::1545418::OVER_1_5::NO_BET,2026-05-25,2026-05-25T23:38:53+01:00,1545418.0,Bundesliga,SC Paderborn 07,VfL Wolfsburg,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.85476,155.046,FAILURE_MODE_LOW_CONVERSION,2026-05-25-20260525T163616Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-25::1494178::OVER_2_5::NO_BET,2026-05-25,2026-05-25T23:38:53+01:00,1494178.0,Allsvenskan,IF Elfsborg,BK Hacken,OVER_2_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.821525,131.523,FAILURE_MODE_LOW_CONVERSION,2026-05-25-20260525T163616Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-26::NO_FIXTURE::NO_MARKET::NO_BET,2026-05-26,2026-05-26T19:14:40+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
2026-05-26::1535324::UNDER_3_5::WAIT,2026-05-26,2026-05-26T20:32:58+01:00,1535324.0,CONMEBOL Libertadores,LDU de Quito,Always Ready,UNDER_3_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-26T22:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.770525,127.772,FAILURE_MODE_AVALANCHE_RISK,2026-05-26-20260526T193248Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-26::1535324::UNDER_3_5::NO_BET,2026-05-26,2026-05-26T23:58:19+01:00,1535324.0,CONMEBOL Libertadores,LDU de Quito,Always Ready,UNDER_3_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.770525,127.772,FAILURE_MODE_AVALANCHE_RISK,2026-05-26-20260526T193248Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-27::1544608::OVER_1_5::WAIT,2026-05-27,2026-05-27T01:20:26+01:00,1544608.0,UEFA Europa Conference League,Crystal Palace,Rayo Vallecano,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-27T19:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.80846,151.018,FAILURE_MODE_LOW_CONVERSION,2026-05-27-20260527T002016Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-27::1544608::OVER_1_5::NO_BET,2026-05-27,2026-05-27T19:15:17+01:00,1544608.0,UEFA Europa Conference League,Crystal Palace,Rayo Vallecano,OVER_1_5,YES,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,NO,,DATA_GAP_BLOCKED,vsigma_today_competition_top.csv,0.80846,156.432,FAILURE_MODE_LOW_CONVERSION,2026-05-27-20260527T181420Z,DATA_GAP_BLOCKED,NO,YES,NO,NO,YES,NO
2026-05-27::1535322::OVER_1_5::WAIT,2026-05-27,2026-05-27T19:15:17+01:00,1535322.0,CONMEBOL Libertadores,Independiente del Valle,Rosario Central,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-27T22:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.83216,154.531,FAILURE_MODE_LOW_CONVERSION,2026-05-27-20260527T181420Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-28::NO_FIXTURE::NO_MARKET::NO_BET,2026-05-28,2026-05-28T19:44:01+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
2026-05-29::1535314::OVER_1_5::NO_BET,2026-05-29,2026-05-29T00:52:28+01:00,1535314.0,CONMEBOL Libertadores,Boca Juniors,U. Catolica,OVER_1_5,YES,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,NO,,DATA_GAP_BLOCKED,vsigma_today_competition_top.csv,0.81316,151.9,FAILURE_MODE_LOW_CONVERSION,2026-05-29-20260528T230548Z,DATA_GAP_BLOCKED,NO,YES,NO,NO,YES,NO
2026-05-29::1535218::OVER_1_5::NO_BET,2026-05-29,2026-05-29T00:52:28+01:00,1535218.0,CONMEBOL Sudamericana,America de Cali,Macara,OVER_1_5,YES,NO_BET,NO,ODDS_NOT_AVAILABLE;LINEUPS_NOT_AVAILABLE;AVAILABILITY_NOT_AVAILABLE,NO,,DATA_GAP_BLOCKED,vsigma_today_competition_top.csv,0.799,113.812,FAILURE_MODE_LOW_CONVERSION,2026-05-29-20260528T230548Z,DATA_GAP_BLOCKED,NO,YES,NO,NO,YES,NO
2026-05-29::1545409::OVER_1_5::EXECUTABLE,2026-05-29,2026-05-29T19:41:11+01:00,1545409.0,Ligue 1,Nice,Saint Etienne,OVER_1_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.72086,138.817,FAILURE_MODE_LOW_CONVERSION,2026-05-29-20260529T182122Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-29::1545409::OVER_1_5::NO_BET,2026-05-29,2026-05-29T23:59:44+01:00,1545409.0,Ligue 1,Nice,Saint Etienne,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.72086,138.817,FAILURE_MODE_LOW_CONVERSION,2026-05-29-20260529T182122Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-30::1494185::OVER_2_5::EXECUTABLE,2026-05-30,2026-05-30T13:50:40+01:00,1494185.0,Allsvenskan,AIK Stockholm,Sirius,OVER_2_5,YES,EXECUTABLE,YES,NONE,NO,,PRELOCK_CONFIRMED,vsigma_today_competition_top.csv,0.830325,142.542,FAILURE_MODE_LOW_CONVERSION,2026-05-30-20260530T120238Z,PRELOCK_CONFIRMED,YES,NO,NO,NO,NO,NO
2026-05-30::1544371::OVER_1_5::WAIT,2026-05-30,2026-05-30T13:50:40+01:00,1544371.0,UEFA Champions League,Paris Saint Germain,Arsenal,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-30T16:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.8009,118.005,FAILURE_MODE_LOW_CONVERSION,2026-05-30-20260530T120238Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-30::1492281::OVER_2_5::WAIT,2026-05-30,2026-05-30T17:37:24+01:00,1492281.0,Serie A,Bahia,Botafogo,OVER_2_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-30T20:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.838925,137.999,FAILURE_MODE_LOW_CONVERSION,2026-05-30-20260530T120238Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-30::1494185::OVER_2_5::NO_BET,2026-05-30,2026-05-30T21:35:26+01:00,1494185.0,Allsvenskan,AIK Stockholm,Sirius,OVER_2_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.830325,142.542,FAILURE_MODE_LOW_CONVERSION,2026-05-30-20260530T120238Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-30::1492281::OVER_2_5::NO_BET,2026-05-30,2026-05-30T21:35:26+01:00,1492281.0,Serie A,Bahia,Botafogo,OVER_2_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.838925,137.999,FAILURE_MODE_LOW_CONVERSION,2026-05-30-20260530T120238Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-30::1544371::OVER_1_5::NO_BET,2026-05-30,2026-05-30T21:35:26+01:00,1544371.0,UEFA Champions League,Paris Saint Germain,Arsenal,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.8009,118.005,FAILURE_MODE_LOW_CONVERSION,2026-05-30-20260530T120238Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-05-31::1492282::OVER_1_5::WAIT,2026-05-31,2026-05-31T09:27:48+01:00,1492282.0,Serie A,RB Bragantino,Internacional,OVER_1_5,YES,WAIT,NO,OUTSIDE_PRELOCK_WINDOW,YES,2026-05-31T14:00+01:00,WAITING_FOR_WINDOW,vsigma_today_competition_top.csv,0.8054,115.754,FAILURE_MODE_LOW_CONVERSION,2026-05-31-20260531T082738Z,WAITING_FOR_WINDOW,NO,YES,NO,YES,NO,NO
2026-05-31::1492282::OVER_1_5::NO_BET,2026-05-31,2026-05-31T23:37:40+01:00,1492282.0,Serie A,RB Bragantino,Internacional,OVER_1_5,YES,NO_BET,NO,KICKOFF_ALREADY_PASSED,NO,,EXPIRED,vsigma_today_competition_top.csv,0.8054,115.754,FAILURE_MODE_LOW_CONVERSION,2026-05-31-20260531T082738Z,EXPIRED,NO,YES,YES,NO,NO,NO
2026-06-01::NO_FIXTURE::NO_MARKET::NO_BET,2026-06-01,2026-06-01T22:51:28+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
2026-06-02::NO_FIXTURE::NO_MARKET::NO_BET,2026-06-02,2026-06-02T23:13:17+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
2026-06-03::NO_FIXTURE::NO_MARKET::NO_BET,2026-06-03,2026-06-03T23:32:52+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
2026-06-04::NO_FIXTURE::NO_MARKET::NO_BET,2026-06-04,2026-06-04T23:58:32+01:00,,,,,,NO,NO_BET,NO,NO_CANDIDATES,NO,,NO_CANDIDATES,NO_CANDIDATES,,,,,MISSING,NO,YES,NO,NO,YES,NO
