target_date,mode,generated_at,global_health_status,check_name,status,detail,recovery_command,evidence_path
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_output:CANDIDATE_V7_SHORTLIST,WARNING,only stale rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v7_competition_shortlist.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_output:CANDIDATE_V4,WARNING,only stale rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v4_competition_top.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_output:CANDIDATE_V5,WARNING,only stale rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v5_competition_top.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_output:CANDIDATE_V6,WARNING,only stale rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode pre,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_candidate_v6_competition_top.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,daily_master_report,WARNING,daily master report missing,.\.venv\Scripts\python.exe scripts\build_daily_competition_master_report.py --date 2026-05-21,/home/runner/work/vsigma/vsigma/data/processed/today/2026-05-21/daily_competition_master_report.md
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,immutable_ledger_exists,HEALTHY,ledger present with 84 row(s),,/home/runner/work/vsigma/vsigma/data/processed/ledger/vsigma_immutable_daily_pick_ledger.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,ledger_target_date_rows,WARNING,ledger has no rows for target date,.\.venv\Scripts\python.exe scripts\update_immutable_daily_ledger.py --date 2026-05-21 --stage PRE,/home/runner/work/vsigma/vsigma/data/processed/ledger/vsigma_immutable_daily_pick_ledger.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,ledger_duplicate_ids,HEALTHY,no duplicate ledger_id values for target date,,/home/runner/work/vsigma/vsigma/data/processed/ledger/vsigma_immutable_daily_pick_ledger.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,freshness_report,HEALTHY,validation report present without ERROR,,/home/runner/work/vsigma/vsigma/data/processed/vsigma_daily_freshness_report.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,candidate_isolation_report,HEALTHY,validation report present without ERROR,,/home/runner/work/vsigma/vsigma/data/processed/vsigma_candidate_isolation_report.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,prelock_freshness,WARNING,stale prelock rows found for 2026-05-20,.\.venv\Scripts\python.exe scripts\run_today_prelock_orchestrator.py --date 2026-05-21 --timezone Atlantic/Canary --window-minutes 90,/home/runner/work/vsigma/vsigma/data/processed/vsigma_today_prelock_comparison.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,post_results_status,WARNING,post-results report missing while official picks exist,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-21 --timezone Atlantic/Canary --mode post,/home/runner/work/vsigma/vsigma/data/processed/today_post_results_report.csv
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,supervisor_latest_report,HEALTHY,present,,/home/runner/work/vsigma/vsigma/data/processed/daily_supervisor_latest.md
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,windows_task_registration,NOT_RUN_YET,task registration check unavailable outside Windows,powershell.exe -NoProfile -ExecutionPolicy Bypass -File /home/runner/work/vsigma/vsigma/scripts/register_vsigma_windows_tasks.ps1,
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,recent_automation_logs,WARNING,supervisor log directory missing,.\.venv\Scripts\python.exe scripts\run_daily_competition_controller.py --date 2026-05-20 --timezone Atlantic/Canary --mode status,/home/runner/work/vsigma/vsigma/automation_logs/supervisor
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,disk_space,HEALTHY,free disk space acceptable: 16.52 GB,,
2026-05-21,full,2026-05-21T00:00:27.656658+01:00,WARNING,healthcheck_mode,HEALTHY,full mode completed all quick checks plus environment diagnostics,,
