target_date,generated_at,fixture_id,home_team,away_team,league,quota_policy_decision,planned_mode,allowlist_status,allowlist_mode,quota_units_reserved,external_calls_executed,allowlist_reason,auto_apply,production_change
2026-06-02,2026-06-03T15:19:51+01:00,1548191,Al-Hilal Omdurman II,Al Ahli Wad Medani,Sudani Premier League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1548192,Hilal El-Fasher,Al Fallah,Sudani Premier League,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545622,Hudiksvall,Friska Viljor,Svenska Cupen,MANUAL_REVIEW_REQUIRED,NO_AUTO_ENRICHMENT,BLOCKED_BY_POLICY,NO_ACTION,0,NO,Row is not allowlisted by quota/risk policy.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545623,Sävedalen,Böljan,Svenska Cupen,MANUAL_REVIEW_REQUIRED,NO_AUTO_ENRICHMENT,BLOCKED_BY_POLICY,NO_ACTION,0,NO,Row is not allowlisted by quota/risk policy.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545644,Vastkurd,Trollhättan,Svenska Cupen,MANUAL_REVIEW_REQUIRED,NO_AUTO_ENRICHMENT,BLOCKED_BY_POLICY,NO_ACTION,0,NO,Row is not allowlisted by quota/risk policy.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1524700,New Jersey Copa,Cedar Stars Rush,USL League Two,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1524701,Vermont Green,Boston Bolts,USL League Two,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1517182,JJK,VJS,Ykkönen,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1517183,Rops,OLS,Ykkönen,AUTO_ENRICHMENT_ALLOWED_P1,FULL_ENRICHMENT_WITH_NORMAL_GATES,ALLOWLISTED_DRY_RUN,P1_FULL_ENRICHMENT_PLAN,5,NO,P1 is quota-allowed; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1490061,Mariánské Lázně,Karlovy Vary,4. liga - Divizie B,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1487692,Nové Sady,Sokol Lanžhot,4. liga - Divizie E,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1512766,Croatia,Belgium,Friendlies,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1536928,Georgia,Romania,Friendlies,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545264,Morocco,Madagascar,Friendlies,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1536929,Wales,Ghana,Friendlies,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1464386,Korneuburg,Ybbs,Landesliga - Niederosterreich,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1465499,Blau-Weiß Feldkirch,FC Egg,Landesliga - Vorarlbergliga,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
2026-06-02,2026-06-03T15:19:51+01:00,1545422,Greuther Fürth II,Cham,Regionalliga - Bayern,COVERAGE_PROBE_ALLOWED_P2,COVERAGE_PROBE_ONLY,ALLOWLISTED_DRY_RUN,P2_COVERAGE_PROBE_PLAN,1,NO,P2 is quota-allowed for coverage probe only; this plan remains dry-run only.,NO,NO
