tag,season,group,fixture_id,date,home,away,scenario_home,scenario_away,mult_home,mult_away,nontrivial,result_1x2,gh,ga,l3_home,l3_draw,l3_away,l3_xg_home,l3_xg_away,l3_over25,ctx_home,ctx_draw,ctx_away,ctx_xg_home,ctx_xg_away,ctx_over25
AFCON,2025,AFCON2025#G5,1347273,2025-12-31,Gabon,Ivory Coast,eliminado,le_vale_empate,0.95,0.97,1,A,2.0,3.0,0.1625,0.2466,0.5909,0.758,1.901,0.4961,0.1598,0.2548,0.5854,0.72,1.844,0.4724
AFCON,2025,AFCON2025#G5,1347274,2025-12-31,Mozambique,Cameroon,tercero_en_disputa,le_vale_empate,1.0,0.97,1,A,1.0,2.0,0.156,0.2076,0.6364,0.703,1.956,0.4961,0.1507,0.2362,0.613,0.703,1.897,0.4815
AsianCup,2019,AsianCup2019#G0,118122,2019-01-14,United Arab Emirates,Thailand,le_vale_empate,tercero_en_disputa,0.97,1.0,1,D,1.0,1.0,0.35,0.3018,0.3482,1.313,1.345,0.4961,0.3454,0.3019,0.3527,1.274,1.345,0.4863
AsianCup,2019,AsianCup2019#G0,118123,2019-01-14,India,Bahrain,le_vale_empate,debe_ganar,0.97,1.08,1,A,0.0,1.0,0.2656,0.2406,0.4939,1.029,1.629,0.4961,0.2322,0.2489,0.5188,0.998,1.759,0.5204
AsianCup,2019,AsianCup2019#G1,118124,2019-01-15,Australia,Syria,le_vale_empate,tercero_en_disputa,0.97,1.0,1,H,3.0,2.0,0.4513,0.2768,0.2719,1.547,1.112,0.4961,0.4389,0.2965,0.2646,1.5,1.112,0.4846
AsianCup,2019,AsianCup2019#G1,118125,2019-01-15,Palestine,Jordan,debe_ganar,ya_clasificado,1.08,0.92,1,D,0.0,0.0,0.2337,0.2507,0.5156,0.963,1.696,0.4961,0.2735,0.2772,0.4493,1.04,1.56,0.4815
AsianCup,2019,AsianCup2019#G2,118126,2019-01-16,South Korea,China,intrascendente,intrascendente,0.9,0.9,1,H,2.0,0.0,0.2941,0.2768,0.4291,1.12,1.538,0.4961,0.2905,0.3009,0.4086,1.008,1.384,0.4283
AsianCup,2019,AsianCup2019#G2,118127,2019-01-16,Kyrgyzstan,Philippines,tercero_en_disputa,eliminado,1.0,0.95,1,H,3.0,1.0,0.3618,0.3004,0.3378,1.403,1.255,0.4961,0.3857,0.3073,0.307,1.403,1.192,0.4805
AsianCup,2019,AsianCup2019#G3,118128,2019-01-16,Iran,Iraq,intrascendente,intrascendente,0.9,0.9,1,D,0.0,0.0,0.5831,0.255,0.162,1.879,0.78,0.4961,0.5823,0.2534,0.1643,1.691,0.702,0.4283
AsianCup,2019,AsianCup2019#G3,118129,2019-01-16,Vietnam,Yemen,tercero_en_disputa,eliminado,1.0,0.95,1,H,2.0,0.0,0.6187,0.2157,0.1656,1.94,0.718,0.4961,0.6271,0.2094,0.1635,1.94,0.682,0.4872
AsianCup,2019,AsianCup2019#G4,118132,2019-01-17,Saudi Arabia,Qatar,intrascendente,intrascendente,0.9,0.9,1,A,0.0,2.0,0.2185,0.2513,0.5302,0.932,1.726,0.4961,0.2174,0.2731,0.5095,0.839,1.553,0.4283
AsianCup,2019,AsianCup2019#G4,118133,2019-01-17,Lebanon,North Korea,tercero_en_disputa,eliminado,1.0,0.95,1,H,4.0,1.0,0.4409,0.2848,0.2743,1.494,1.164,0.4961,0.4341,0.3042,0.2617,1.494,1.106,0.4816
AsianCup,2019,AsianCup2019#G5,118130,2019-01-17,Japan,Uzbekistan,intrascendente,intrascendente,0.9,0.9,1,H,2.0,1.0,0.4684,0.2662,0.2653,1.611,1.047,0.4961,0.4426,0.2956,0.2618,1.45,0.942,0.4283
AsianCup,2019,AsianCup2019#G5,118131,2019-01-17,Oman,Turkmenistan,tercero_en_disputa,eliminado,1.0,0.95,1,H,3.0,1.0,0.563,0.2515,0.1855,1.752,0.906,0.4961,0.5648,0.2512,0.184,1.752,0.861,0.4849
AsianCup,2023,AsianCup2023#G0,1034517,2024-01-22,Qatar,China,ya_clasificado,le_vale_empate,0.92,0.97,1,H,1.0,0.0,0.3612,0.3007,0.338,1.395,1.264,0.4961,0.3584,0.3023,0.3393,1.283,1.226,0.4585
AsianCup,2023,AsianCup2023#G0,1034516,2024-01-22,Tajikistan,Lebanon,tercero_en_disputa,debe_ganar,1.0,1.08,1,H,2.0,1.0,0.4673,0.2674,0.2653,1.611,1.048,0.4961,0.4693,0.2486,0.2821,1.611,1.131,0.5167
AsianCup,2023,AsianCup2023#G1,1034519,2024-01-23,Australia,Uzbekistan,ya_clasificado,le_vale_empate,0.92,0.97,1,D,1.0,1.0,0.4515,0.2767,0.2718,1.552,1.106,0.4961,0.44,0.2946,0.2654,1.428,1.073,0.4565
AsianCup,2023,AsianCup2023#G1,1034518,2024-01-23,Syria,India,tercero_en_disputa,eliminado,1.0,0.95,1,H,1.0,0.0,0.4522,0.2763,0.2715,1.578,1.081,0.4961,0.4579,0.2751,0.267,1.578,1.027,0.4827
AsianCup,2023,AsianCup2023#G2,1034522,2024-01-24,Japan,Indonesia,le_vale_empate,tercero_en_disputa,0.97,1.0,1,H,3.0,1.0,0.8115,0.1085,0.08,2.647,0.05,0.5056,0.8115,0.1085,0.08,2.567,0.05,0.4859
