fixture_id,date,league_id,league_tag,season,neutral,home_id,home,away_id,away,gh,ga,venue_city
135809,2018-06-25T14:00:00+00:00,1,WC,2018,1,7,Uruguay,4,Russia,3,0,Samara
135810,2018-06-25T14:00:00+00:00,1,WC,2018,1,23,Saudi Arabia,32,Egypt,2,1,Volgograd
135812,2018-06-25T18:00:00+00:00,1,WC,2018,1,9,Spain,31,Morocco,2,2,Kaliningrad
135811,2018-06-25T18:00:00+00:00,1,WC,2018,1,22,Iran,27,Portugal,1,1,Saransk
135814,2018-06-26T14:00:00+00:00,1,WC,2018,1,20,Australia,30,Peru,0,2,Sochi
135813,2018-06-26T14:00:00+00:00,1,WC,2018,1,21,Denmark,2,France,0,0,Moskva
135816,2018-06-26T18:00:00+00:00,1,WC,2018,1,18,Iceland,3,Croatia,1,2,Rostov-na-Donu
135815,2018-06-26T18:00:00+00:00,1,WC,2018,1,19,Nigeria,26,Argentina,1,2,St. Petersburg
135818,2018-06-27T14:00:00+00:00,1,WC,2018,1,16,Mexico,5,Sweden,0,3,Ekaterinburg
135817,2018-06-27T14:00:00+00:00,1,WC,2018,1,17,South Korea,25,Germany,2,0,Kazan'
135819,2018-06-27T18:00:00+00:00,1,WC,2018,1,14,Serbia,6,Brazil,0,2,Moskva
135820,2018-06-27T18:00:00+00:00,1,WC,2018,1,15,Switzerland,29,Costa Rica,2,2,Nizhniy Novgorod
135821,2018-06-28T14:00:00+00:00,1,WC,2018,1,12,Japan,24,Poland,0,1,Volgograd
135822,2018-06-28T14:00:00+00:00,1,WC,2018,1,13,Senegal,8,Colombia,0,1,Samara
135823,2018-06-28T18:00:00+00:00,1,WC,2018,1,10,England,1,Belgium,0,1,Kaliningrad
135824,2018-06-28T18:00:00+00:00,1,WC,2018,1,11,Panama,28,Tunisia,1,2,Saransk
135761,2018-06-30T14:00:00+00:00,1,WC,2018,1,2,France,26,Argentina,4,3,Kazan'
135762,2018-06-30T18:00:00+00:00,1,WC,2018,1,7,Uruguay,27,Portugal,2,1,Sochi
135763,2018-07-01T14:00:00+00:00,1,WC,2018,1,9,Spain,4,Russia,1,1,Moskva
135764,2018-07-01T18:00:00+00:00,1,WC,2018,1,3,Croatia,21,Denmark,1,1,Nizhniy Novgorod
135765,2018-07-02T14:00:00+00:00,1,WC,2018,1,6,Brazil,16,Mexico,2,0,Samara
135766,2018-07-02T18:00:00+00:00,1,WC,2018,1,1,Belgium,12,Japan,3,2,Rostov-na-Donu
135767,2018-07-03T14:00:00+00:00,1,WC,2018,1,5,Sweden,15,Switzerland,1,0,St. Petersburg
135768,2018-07-03T18:00:00+00:00,1,WC,2018,1,8,Colombia,10,England,1,1,Moskva
135769,2018-07-06T14:00:00+00:00,1,WC,2018,1,7,Uruguay,2,France,0,2,Nizhniy Novgorod
135770,2018-07-06T18:00:00+00:00,1,WC,2018,1,6,Brazil,1,Belgium,1,2,Kazan'
135771,2018-07-07T14:00:00+00:00,1,WC,2018,1,5,Sweden,10,England,0,2,Samara
135772,2018-07-07T18:00:00+00:00,1,WC,2018,1,4,Russia,3,Croatia,2,2,Sochi
135773,2018-07-10T18:00:00+00:00,1,WC,2018,1,2,France,1,Belgium,1,0,St. Petersburg
135774,2018-07-11T18:00:00+00:00,1,WC,2018,1,3,Croatia,10,England,2,1,Moskva
135775,2018-07-14T14:00:00+00:00,1,WC,2018,1,1,Belgium,10,England,2,0,St. Petersburg
135776,2018-07-15T15:00:00+00:00,1,WC,2018,1,2,France,3,Croatia,4,2,Moskva
855736,2022-11-20T16:00:00+00:00,1,WC,2022,1,1569,Qatar,2382,Ecuador,0,2,Al Khor
855735,2022-11-21T13:00:00+00:00,1,WC,2022,1,10,England,22,Iran,6,2,Ar-Rayyan
855734,2022-11-21T16:00:00+00:00,1,WC,2022,1,13,Senegal,1118,Netherlands,0,2,Doha
866681,2022-11-21T19:00:00+00:00,1,WC,2022,1,2384,USA,767,Wales,1,1,Al-Rayyan
855737,2022-11-22T10:00:00+00:00,1,WC,2022,1,26,Argentina,23,Saudi Arabia,1,2,Lusail
855738,2022-11-22T13:00:00+00:00,1,WC,2022,1,21,Denmark,28,Tunisia,0,0,Ar-Rayyan
855739,2022-11-22T16:00:00+00:00,1,WC,2022,1,16,Mexico,24,Poland,0,0,Doha
871850,2022-11-22T19:00:00+00:00,1,WC,2022,1,2,France,20,Australia,4,1,Al Wakrah
855740,2022-11-23T10:00:00+00:00,1,WC,2022,1,31,Morocco,3,Croatia,0,0,Al Khor
855741,2022-11-23T13:00:00+00:00,1,WC,2022,1,25,Germany,12,Japan,1,2,Ar-Rayyan
871851,2022-11-23T16:00:00+00:00,1,WC,2022,1,9,Spain,29,Costa Rica,7,0,Doha
855742,2022-11-23T19:00:00+00:00,1,WC,2022,1,1,Belgium,5529,Canada,1,0,Al-Rayyan
855743,2022-11-24T10:00:00+00:00,1,WC,2022,1,15,Switzerland,1530,Cameroon,1,0,Al Wakrah
855744,2022-11-24T13:00:00+00:00,1,WC,2022,1,7,Uruguay,17,South Korea,0,0,Ar-Rayyan
855745,2022-11-24T16:00:00+00:00,1,WC,2022,1,27,Portugal,1504,Ghana,3,2,Doha
855746,2022-11-24T19:00:00+00:00,1,WC,2022,1,6,Brazil,14,Serbia,2,0,Lusail
866682,2022-11-25T10:00:00+00:00,1,WC,2022,1,767,Wales,22,Iran,0,2,Al-Rayyan
855747,2022-11-25T13:00:00+00:00,1,WC,2022,1,1569,Qatar,13,Senegal,1,3,Doha
855748,2022-11-25T16:00:00+00:00,1,WC,2022,1,1118,Netherlands,2382,Ecuador,1,1,Ar-Rayyan
855749,2022-11-25T19:00:00+00:00,1,WC,2022,1,10,England,2384,USA,0,0,Al Khor
871852,2022-11-26T10:00:00+00:00,1,WC,2022,1,28,Tunisia,20,Australia,0,1,Al Wakrah
855750,2022-11-26T13:00:00+00:00,1,WC,2022,1,24,Poland,23,Saudi Arabia,2,0,Ar-Rayyan
855751,2022-11-26T16:00:00+00:00,1,WC,2022,1,2,France,21,Denmark,2,1,Doha
855752,2022-11-26T19:00:00+00:00,1,WC,2022,1,26,Argentina,16,Mexico,2,0,Lusail
871853,2022-11-27T10:00:00+00:00,1,WC,2022,1,12,Japan,29,Costa Rica,0,1,Al-Rayyan
855753,2022-11-27T13:00:00+00:00,1,WC,2022,1,1,Belgium,31,Morocco,0,2,Doha
855754,2022-11-27T16:00:00+00:00,1,WC,2022,1,3,Croatia,5529,Canada,4,1,Ar-Rayyan
855755,2022-11-27T19:00:00+00:00,1,WC,2022,1,9,Spain,25,Germany,1,1,Al Khor
855756,2022-11-28T10:00:00+00:00,1,WC,2022,1,1530,Cameroon,14,Serbia,3,3,Al Wakrah
855757,2022-11-28T13:00:00+00:00,1,WC,2022,1,17,South Korea,1504,Ghana,2,3,Ar-Rayyan
855758,2022-11-28T16:00:00+00:00,1,WC,2022,1,6,Brazil,15,Switzerland,1,0,Doha
855759,2022-11-28T19:00:00+00:00,1,WC,2022,1,27,Portugal,7,Uruguay,2,0,Lusail
855760,2022-11-29T15:00:00+00:00,1,WC,2022,1,1118,Netherlands,1569,Qatar,2,0,Al Khor
855761,2022-11-29T15:00:00+00:00,1,WC,2022,1,2382,Ecuador,13,Senegal,1,2,Ar-Rayyan
855762,2022-11-29T19:00:00+00:00,1,WC,2022,1,22,Iran,2384,USA,0,1,Doha
866683,2022-11-29T19:00:00+00:00,1,WC,2022,1,767,Wales,10,England,0,3,Al-Rayyan
871854,2022-11-30T15:00:00+00:00,1,WC,2022,1,20,Australia,21,Denmark,1,0,Al Wakrah
855763,2022-11-30T15:00:00+00:00,1,WC,2022,1,28,Tunisia,2,France,1,0,Ar-Rayyan
855765,2022-11-30T19:00:00+00:00,1,WC,2022,1,23,Saudi Arabia,16,Mexico,1,2,Lusail
855764,2022-11-30T19:00:00+00:00,1,WC,2022,1,24,Poland,26,Argentina,0,2,Doha
855766,2022-12-01T15:00:00+00:00,1,WC,2022,1,3,Croatia,1,Belgium,0,0,Al-Rayyan
855767,2022-12-01T15:00:00+00:00,1,WC,2022,1,5529,Canada,31,Morocco,1,2,Doha
855768,2022-12-01T19:00:00+00:00,1,WC,2022,1,12,Japan,9,Spain,2,1,Ar-Rayyan
871855,2022-12-01T19:00:00+00:00,1,WC,2022,1,29,Costa Rica,25,Germany,2,4,Al Khor
855769,2022-12-02T15:00:00+00:00,1,WC,2022,1,17,South Korea,27,Portugal,2,1,Ar-Rayyan
855770,2022-12-02T15:00:00+00:00,1,WC,2022,1,1504,Ghana,7,Uruguay,0,2,Al Wakrah
855772,2022-12-02T19:00:00+00:00,1,WC,2022,1,14,Serbia,15,Switzerland,2,3,Doha
855771,2022-12-02T19:00:00+00:00,1,WC,2022,1,1530,Cameroon,6,Brazil,1,0,Lusail
976533,2022-12-03T15:00:00+00:00,1,WC,2022,1,1118,Netherlands,2384,USA,3,1,Ar-Rayyan
976642,2022-12-03T19:00:00+00:00,1,WC,2022,1,26,Argentina,20,Australia,2,1,Al-Rayyan
976643,2022-12-04T15:00:00+00:00,1,WC,2022,1,2,France,24,Poland,3,1,Doha
976534,2022-12-04T19:00:00+00:00,1,WC,2022,1,10,England,13,Senegal,3,0,Al Khor
977344,2022-12-05T15:00:00+00:00,1,WC,2022,1,12,Japan,3,Croatia,1,1,Al Wakrah
977705,2022-12-05T19:00:00+00:00,1,WC,2022,1,6,Brazil,17,South Korea,4,1,Doha
977345,2022-12-06T15:00:00+00:00,1,WC,2022,1,31,Morocco,9,Spain,0,0,Ar-Rayyan
977706,2022-12-06T19:00:00+00:00,1,WC,2022,1,27,Portugal,15,Switzerland,6,1,Lusail
978072,2022-12-09T15:00:00+00:00,1,WC,2022,1,3,Croatia,6,Brazil,1,1,Ar-Rayyan
977794,2022-12-09T19:00:00+00:00,1,WC,2022,1,1118,Netherlands,26,Argentina,2,2,Lusail
978088,2022-12-10T15:00:00+00:00,1,WC,2022,1,31,Morocco,27,Portugal,1,0,Doha
978036,2022-12-10T19:00:00+00:00,1,WC,2022,1,10,England,2,France,1,2,Al Khor
978279,2022-12-13T19:00:00+00:00,1,WC,2022,1,26,Argentina,3,Croatia,3,0,Lusail
978488,2022-12-14T19:00:00+00:00,1,WC,2022,1,2,France,31,Morocco,2,0,Al Khor
979138,2022-12-17T15:00:00+00:00,1,WC,2022,1,3,Croatia,31,Morocco,2,1,Ar-Rayyan
979139,2022-12-18T15:00:00+00:00,1,WC,2022,1,26,Argentina,2,France,3,3,Lusail
1489369,2026-06-11T19:00:00+00:00,1,WC,2026,1,16,Mexico,1531,South Africa,2,0,Mexico City
1538999,2026-06-12T02:00:00+00:00,1,WC,2026,1,17,South Korea,770,Czechia,2,1,Guadalajara
1539000,2026-06-12T19:00:00+00:00,1,WC,2026,1,5529,Canada,1113,Bosnia & Herzegovina,1,1,Toronto
1489370,2026-06-13T01:00:00+00:00,1,WC,2026,1,2384,USA,2380,Paraguay,4,1,Inglewood
1489373,2026-06-13T19:00:00+00:00,1,WC,2026,1,1569,Qatar,15,Switzerland,1,1,Santa Clara
1489371,2026-06-13T22:00:00+00:00,1,WC,2026,1,6,Brazil,31,Morocco,1,1,East Rutherford
1489372,2026-06-14T01:00:00+00:00,1,WC,2026,1,2386,Haiti,1108,Scotland,0,1,Boston
1539001,2026-06-14T04:00:00+00:00,1,WC,2026,1,20,Australia,777,Türkiye,2,0,Vancouver
1489374,2026-06-14T17:00:00+00:00,1,WC,2026,1,25,Germany,5530,Curaçao,7,1,Houston
1489376,2026-06-14T20:00:00+00:00,1,WC,2026,1,1118,Netherlands,12,Japan,2,2,Arlington
1489375,2026-06-14T23:00:00+00:00,1,WC,2026,1,1501,Ivory Coast,2382,Ecuador,1,0,Philadelphia
1539002,2026-06-15T02:00:00+00:00,1,WC,2026,1,5,Sweden,28,Tunisia,5,1,Monterrey
1489380,2026-06-15T16:00:00+00:00,1,WC,2026,1,9,Spain,1533,Cape Verde Islands,0,0,Atlanta
1489377,2026-06-15T19:00:00+00:00,1,WC,2026,1,1,Belgium,32,Egypt,1,1,Seattle
1489379,2026-06-15T22:00:00+00:00,1,WC,2026,1,23,Saudi Arabia,7,Uruguay,1,1,Miami Gardens
1489378,2026-06-16T01:00:00+00:00,1,WC,2026,1,22,Iran,4673,New Zealand,2,2,Inglewood
132759,2019-03-21T15:00:00+00:00,4,Euro,2020,1,1095,Kazakhstan,1108,Scotland,3,0,Astana
132760,2019-03-21T17:00:00+00:00,4,Euro,2020,1,1106,Cyprus,1115,San Marino,5,0,Levkosía
132768,2019-03-21T19:45:00+00:00,4,Euro,2020,1,1,Belgium,4,Russia,3,1,Brussel
132764,2019-03-21T19:45:00+00:00,4,Euro,2020,1,3,Croatia,1096,Azerbaijan,2,1,Zagreb
132761,2019-03-21T19:45:00+00:00,4,Euro,2020,1,771,Northern Ireland,1101,Estonia,2,0,Belfast
132763,2019-03-21T19:45:00+00:00,4,Euro,2020,1,773,Slovakia,769,Hungary,2,0,Trnava
132767,2019-03-21T19:45:00+00:00,4,Euro,2020,1,775,Austria,24,Poland,0,1,Wien
132766,2019-03-21T19:45:00+00:00,4,Euro,2020,1,1105,FYR Macedonia,1092,Latvia,3,1,Skopje
132765,2019-03-21T19:45:00+00:00,4,Euro,2020,1,1116,Israel,1091,Slovenia,1,1,Haifa
132762,2019-03-21T19:45:00+00:00,4,Euro,2020,1,1118,Netherlands,1100,Belarus,4,0,Rotterdam
132769,2019-03-22T17:00:00+00:00,4,Euro,2020,1,1103,Bulgaria,1109,Montenegro,1,1,Sofia
132770,2019-03-22T19:45:00+00:00,4,Euro,2020,1,10,England,770,Czechia,5,0,London
132771,2019-03-22T19:45:00+00:00,4,Euro,2020,1,27,Portugal,772,Ukraine,0,0,Lisboa
132775,2019-03-22T19:45:00+00:00,4,Euro,2020,1,778,Albania,777,Türkiye,0,2,Shkodër
132772,2019-03-22T19:45:00+00:00,4,Euro,2020,1,1102,Luxembourg,1097,Lithuania,2,1,Luxembourg
132774,2019-03-22T19:45:00+00:00,4,Euro,2020,1,1110,andorra,18,Iceland,0,2,Andorra la Vella
132773,2019-03-22T19:45:00+00:00,4,Euro,2020,1,1114,Moldova,2,France,1,4,Chişinău
132776,2019-03-23T14:00:00+00:00,4,Euro,2020,1,1104,Georgia,15,Switzerland,0,2,Tbilisi
132778,2019-03-23T17:00:00+00:00,4,Euro,2020,1,5,Sweden,774,Romania,2,1,Solna
132777,2019-03-23T17:00:00+00:00,4,Euro,2020,1,1093,Gibraltar,776,Rep. Of Ireland,0,1,Gibraltar
132779,2019-03-23T17:00:00+00:00,4,Euro,2020,1,1112,Malta,1098,Faroe Islands,2,1,Ta'Qali
132780,2019-03-23T19:45:00+00:00,4,Euro,2020,1,9,Spain,1090,Norway,2,1,Valencia
132782,2019-03-23T19:45:00+00:00,4,Euro,2020,1,768,Italy,1099,Finland,2,0,Udine
132781,2019-03-23T19:45:00+00:00,4,Euro,2020,1,1107,Liechtenstein,1117,Greece,0,2,Vaduz
132783,2019-03-23T19:45:00+00:00,4,Euro,2020,1,1113,Bosnia & Herzegovina,1094,Armenia,2,1,Sarajevo
132784,2019-03-24T14:00:00+00:00,4,Euro,2020,1,767,Wales,773,Slovakia,1,0,Caerdydd
132785,2019-03-24T14:00:00+00:00,4,Euro,2020,1,1095,Kazakhstan,4,Russia,0,4,Astana
132786,2019-03-24T17:00:00+00:00,4,Euro,2020,1,769,Hungary,3,Croatia,2,1,Budapest
132788,2019-03-24T17:00:00+00:00,4,Euro,2020,1,1115,San Marino,1108,Scotland,0,2,Serravalle
132787,2019-03-24T17:00:00+00:00,4,Euro,2020,1,1116,Israel,775,Austria,4,2,Haifa
132792,2019-03-24T19:45:00+00:00,4,Euro,2020,1,24,Poland,1092,Latvia,2,0,Warszawa
132789,2019-03-24T19:45:00+00:00,4,Euro,2020,1,771,Northern Ireland,1100,Belarus,2,1,Belfast
132791,2019-03-24T19:45:00+00:00,4,Euro,2020,1,1091,Slovenia,1105,FYR Macedonia,1,1,Ljubljana
132793,2019-03-24T19:45:00+00:00,4,Euro,2020,1,1106,Cyprus,1,Belgium,0,2,Levkosía
132790,2019-03-24T19:45:00+00:00,4,Euro,2020,1,1118,Netherlands,25,Germany,2,3,Amsterdam
132794,2019-03-25T17:00:00+00:00,4,Euro,2020,1,777,Türkiye,1114,Moldova,4,0,Eskişehir
132799,2019-03-25T19:45:00+00:00,4,Euro,2020,1,2,France,18,Iceland,4,0,Saint-Denis
132797,2019-03-25T19:45:00+00:00,4,Euro,2020,1,27,Portugal,14,Serbia,1,1,Lisboa
132798,2019-03-25T19:45:00+00:00,4,Euro,2020,1,1102,Luxembourg,772,Ukraine,1,2,Luxembourg
132795,2019-03-25T19:45:00+00:00,4,Euro,2020,1,1109,Montenegro,10,England,1,5,Podgorica
132800,2019-03-25T19:45:00+00:00,4,Euro,2020,1,1110,andorra,778,Albania,0,3,Andorra la Vella
132796,2019-03-25T19:45:00+00:00,4,Euro,2020,1,1111,Kosovo,1103,Bulgaria,1,1,Pristina
132801,2019-03-26T17:00:00+00:00,4,Euro,2020,1,1094,Armenia,1099,Finland,0,2,Yerevan
132802,2019-03-26T19:45:00+00:00,4,Euro,2020,1,15,Switzerland,21,Denmark,3,3,Basel
132807,2019-03-26T19:45:00+00:00,4,Euro,2020,1,768,Italy,1107,Liechtenstein,6,0,Parma
132804,2019-03-26T19:45:00+00:00,4,Euro,2020,1,774,Romania,1098,Faroe Islands,4,1,Cluj-Napoca
132803,2019-03-26T19:45:00+00:00,4,Euro,2020,1,776,Rep. Of Ireland,1104,Georgia,1,0,Dublin
132805,2019-03-26T19:45:00+00:00,4,Euro,2020,1,1090,Norway,5,Sweden,3,3,Oslo
132806,2019-03-26T19:45:00+00:00,4,Euro,2020,1,1112,Malta,9,Spain,0,2,Ta'Qali
132808,2019-03-26T19:45:00+00:00,4,Euro,2020,1,1113,Bosnia & Herzegovina,1117,Greece,2,2,Zenica
132809,2019-06-07T16:00:00+00:00,4,Euro,2020,1,1104,Georgia,1093,Gibraltar,3,0,Tbilisi
132815,2019-06-07T18:45:00+00:00,4,Euro,2020,1,5,Sweden,1112,Malta,3,0,Solna
132814,2019-06-07T18:45:00+00:00,4,Euro,2020,1,21,Denmark,776,Rep. Of Ireland,1,1,København
132811,2019-06-07T18:45:00+00:00,4,Euro,2020,1,770,Czechia,1103,Bulgaria,2,1,Praha
132812,2019-06-07T18:45:00+00:00,4,Euro,2020,1,772,Ukraine,14,Serbia,5,0,L'viv
132820,2019-06-07T18:45:00+00:00,4,Euro,2020,1,775,Austria,1091,Slovenia,1,0,Klagenfurt am Wörthersee
132816,2019-06-07T18:45:00+00:00,4,Euro,2020,1,1090,Norway,774,Romania,2,2,Oslo
132818,2019-06-07T18:45:00+00:00,4,Euro,2020,1,1092,Latvia,1116,Israel,0,3,Riga
132813,2019-06-07T18:45:00+00:00,4,Euro,2020,1,1097,Lithuania,1102,Luxembourg,1,1,Vilnius
132817,2019-06-07T18:45:00+00:00,4,Euro,2020,1,1098,Faroe Islands,9,Spain,1,4,"Tórshavn, Streymoy"
132819,2019-06-07T18:45:00+00:00,4,Euro,2020,1,1105,FYR Macedonia,24,Poland,0,1,Skopje
132810,2019-06-07T18:45:00+00:00,4,Euro,2020,1,1109,Montenegro,1111,Kosovo,1,1,Podgorica
132821,2019-06-08T13:00:00+00:00,4,Euro,2020,1,3,Croatia,767,Wales,2,1,Osijek
132822,2019-06-08T13:00:00+00:00,4,Euro,2020,1,18,Iceland,778,Albania,1,0,Reykjavík
132826,2019-06-08T16:00:00+00:00,4,Euro,2020,1,4,Russia,1115,San Marino,9,0,Saransk
132828,2019-06-08T16:00:00+00:00,4,Euro,2020,1,1094,Armenia,1107,Liechtenstein,3,0,Yerevan
132824,2019-06-08T16:00:00+00:00,4,Euro,2020,1,1096,Azerbaijan,769,Hungary,1,3,Baku
132827,2019-06-08T16:00:00+00:00,4,Euro,2020,1,1099,Finland,1113,Bosnia & Herzegovina,2,0,Tammerfors
132823,2019-06-08T16:00:00+00:00,4,Euro,2020,1,1101,Estonia,771,Northern Ireland,1,2,Tallinn
132825,2019-06-08T16:00:00+00:00,4,Euro,2020,1,1114,Moldova,1110,andorra,1,0,Chişinău
132832,2019-06-08T18:45:00+00:00,4,Euro,2020,1,1,Belgium,1095,Kazakhstan,3,0,Brussel
132830,2019-06-08T18:45:00+00:00,4,Euro,2020,1,777,Türkiye,2,France,2,0,Konya
132829,2019-06-08T18:45:00+00:00,4,Euro,2020,1,1100,Belarus,25,Germany,0,2,Borisov
132831,2019-06-08T18:45:00+00:00,4,Euro,2020,1,1108,Scotland,1106,Cyprus,2,1,Glasgow
132833,2019-06-08T18:45:00+00:00,4,Euro,2020,1,1117,Greece,768,Italy,0,3,Athens
132840,2019-06-10T18:45:00+00:00,4,Euro,2020,1,9,Spain,5,Sweden,3,0,Madrid
132837,2019-06-10T18:45:00+00:00,4,Euro,2020,1,14,Serbia,1097,Lithuania,4,1,Beograd
132839,2019-06-10T18:45:00+00:00,4,Euro,2020,1,21,Denmark,1104,Georgia,5,1,København
132843,2019-06-10T18:45:00+00:00,4,Euro,2020,1,24,Poland,1116,Israel,4,0,Warszawa
132834,2019-06-10T18:45:00+00:00,4,Euro,2020,1,770,Czechia,1109,Montenegro,3,0,Olomouc
132836,2019-06-10T18:45:00+00:00,4,Euro,2020,1,772,Ukraine,1102,Luxembourg,1,0,L'viv
132838,2019-06-10T18:45:00+00:00,4,Euro,2020,1,776,Rep. Of Ireland,1093,Gibraltar,2,0,Dublin
132844,2019-06-10T18:45:00+00:00,4,Euro,2020,1,1092,Latvia,1091,Slovenia,0,5,Riga
132842,2019-06-10T18:45:00+00:00,4,Euro,2020,1,1098,Faroe Islands,1090,Norway,0,2,"Tórshavn, Streymoy"
132835,2019-06-10T18:45:00+00:00,4,Euro,2020,1,1103,Bulgaria,1111,Kosovo,2,3,Sofia
132845,2019-06-10T18:45:00+00:00,4,Euro,2020,1,1105,FYR Macedonia,775,Austria,1,4,Skopje
132841,2019-06-10T18:45:00+00:00,4,Euro,2020,1,1112,Malta,774,Romania,0,4,Ta'Qali
132846,2019-06-11T14:00:00+00:00,4,Euro,2020,1,1095,Kazakhstan,1115,San Marino,4,0,Astana
132847,2019-06-11T16:00:00+00:00,4,Euro,2020,1,1096,Azerbaijan,773,Slovakia,1,5,Baku
132855,2019-06-11T18:45:00+00:00,4,Euro,2020,1,1,Belgium,1108,Scotland,3,0,Brussel
132854,2019-06-11T18:45:00+00:00,4,Euro,2020,1,4,Russia,1106,Cyprus,1,0,Nizhniy Novgorod
132851,2019-06-11T18:45:00+00:00,4,Euro,2020,1,18,Iceland,777,Türkiye,2,1,Reykjavík
132848,2019-06-11T18:45:00+00:00,4,Euro,2020,1,25,Germany,1101,Estonia,8,0,Mainz
132857,2019-06-11T18:45:00+00:00,4,Euro,2020,1,768,Italy,1113,Bosnia & Herzegovina,2,1,Torino
132850,2019-06-11T18:45:00+00:00,4,Euro,2020,1,769,Hungary,767,Wales,1,0,Budapest
132853,2019-06-11T18:45:00+00:00,4,Euro,2020,1,778,Albania,1114,Moldova,2,0,Elbasan
132849,2019-06-11T18:45:00+00:00,4,Euro,2020,1,1100,Belarus,771,Northern Ireland,0,1,Borisov
132856,2019-06-11T18:45:00+00:00,4,Euro,2020,1,1107,Liechtenstein,1099,Finland,0,2,Vaduz
132852,2019-06-11T18:45:00+00:00,4,Euro,2020,1,1110,andorra,2,France,0,4,Andorra la Vella
132858,2019-06-11T18:45:00+00:00,4,Euro,2020,1,1117,Greece,1094,Armenia,2,3,Athens
132859,2019-09-05T16:00:00+00:00,4,Euro,2020,1,1094,Armenia,768,Italy,1,3,Yerevan
132862,2019-09-05T18:45:00+00:00,4,Euro,2020,1,774,Romania,9,Spain,1,2,Bucureşti
132860,2019-09-05T18:45:00+00:00,4,Euro,2020,1,776,Rep. Of Ireland,15,Switzerland,1,1,Dublin
132863,2019-09-05T18:45:00+00:00,4,Euro,2020,1,1090,Norway,1112,Malta,2,0,Oslo
132861,2019-09-05T18:45:00+00:00,4,Euro,2020,1,1093,Gibraltar,21,Denmark,0,6,Gibraltar
