fixture_id,date,season,league_tag,neutral,team,team_id,opp,opp_id,is_home,corners,yellow,red,shots,sot,fouls,possession
1503008,2026-05-31,2026,Friendlies,0,USA,2384,Senegal,13,1,3.0,1.0,,13.0,3.0,21.0,45.0
1503008,2026-05-31,2026,Friendlies,0,Senegal,13,USA,2384,0,7.0,0.0,,7.0,3.0,9.0,55.0
1501818,2026-05-31,2026,Friendlies,0,Germany,25,Finland,1099,1,10.0,,,22.0,12.0,12.0,65.0
1501818,2026-05-31,2026,Friendlies,0,Finland,1099,Germany,25,0,3.0,,,7.0,0.0,6.0,35.0
1528283,2026-05-31,2026,Friendlies,0,Switzerland,15,Jordan,1548,1,6.0,,,19.0,10.0,10.0,70.0
1528283,2026-05-31,2026,Friendlies,0,Jordan,1548,Switzerland,15,0,4.0,,,12.0,4.0,9.0,30.0
1540351,2026-05-31,2026,Friendlies,0,Japan,12,Iceland,18,1,5.0,0.0,,15.0,7.0,11.0,55.0
1540351,2026-05-31,2026,Friendlies,0,Iceland,18,Japan,12,0,1.0,2.0,,8.0,2.0,9.0,45.0
1527865,2026-05-31,2026,Friendlies,0,Mexico,16,Australia,20,1,5.0,1.0,,13.0,3.0,7.0,59.0
1527865,2026-05-31,2026,Friendlies,0,Australia,20,Mexico,16,0,3.0,1.0,,7.0,1.0,10.0,41.0
1545263,2026-05-31,2026,Friendlies,0,South Korea,17,Trinidad and Tobago,5168,1,7.0,1.0,,19.0,11.0,12.0,72.0
1545263,2026-05-31,2026,Friendlies,0,Trinidad and Tobago,5168,South Korea,17,0,1.0,3.0,,2.0,1.0,10.0,28.0
1540948,2026-05-31,2026,Friendlies,0,Ecuador,2382,Saudi Arabia,23,1,2.0,1.0,,11.0,6.0,16.0,42.0
1540948,2026-05-31,2026,Friendlies,0,Saudi Arabia,23,Ecuador,2382,0,2.0,1.0,,12.0,2.0,11.0,58.0
1511779,2026-05-30,2026,Friendlies,0,Scotland,1108,Curaçao,5530,1,8.0,2.0,0.0,18.0,11.0,17.0,67.0
1511779,2026-05-30,2026,Friendlies,0,Curaçao,5530,Scotland,1108,0,2.0,2.0,1.0,9.0,3.0,11.0,33.0
1540947,2026-05-29,2026,Friendlies,0,Bosnia & Herzegovina,1113,FYR Macedonia,1105,1,2.0,0.0,0.0,13.0,3.0,12.0,69.0
1540947,2026-05-29,2026,Friendlies,0,FYR Macedonia,1105,Bosnia & Herzegovina,1113,0,1.0,1.0,0.0,2.0,1.0,19.0,31.0
1543817,2026-05-29,2026,Friendlies,0,South Africa,1531,Nicaragua,5164,1,6.0,0.0,,21.0,6.0,8.0,85.0
1543817,2026-05-29,2026,Friendlies,0,Nicaragua,5164,South Africa,1531,0,1.0,2.0,,3.0,0.0,10.0,15.0
1528282,2026-05-28,2026,Friendlies,0,Rep. Of Ireland,776,Qatar,1569,1,7.0,,1.0,11.0,3.0,9.0,52.0
1528282,2026-05-28,2026,Friendlies,0,Qatar,1569,Rep. Of Ireland,776,0,3.0,,1.0,8.0,1.0,16.0,48.0
1543816,2026-05-28,2026,Friendlies,0,Egypt,32,Russia,4,1,5.0,1.0,,11.0,4.0,13.0,53.0
1543816,2026-05-28,2026,Friendlies,0,Russia,4,Egypt,32,0,6.0,2.0,,8.0,1.0,19.0,47.0
1528281,2026-05-23,2026,Friendlies,0,Mexico,16,Ghana,1504,1,9.0,1.0,,16.0,8.0,16.0,59.0
1528281,2026-05-23,2026,Friendlies,0,Ghana,1504,Mexico,16,0,3.0,1.0,,7.0,3.0,9.0,41.0
1514471,2026-04-01,2026,Friendlies,0,Mexico,16,Belgium,1,1,3.0,2.0,,10.0,3.0,14.0,49.0
1514471,2026-04-01,2026,Friendlies,0,Belgium,1,Mexico,16,0,2.0,3.0,,5.0,2.0,20.0,51.0
1536923,2026-03-31,2026,Friendlies,0,Argentina,26,Zambia,1507,1,1.0,,,1.0,1.0,1.0,75.0
1536923,2026-03-31,2026,Friendlies,0,Zambia,1507,Argentina,26,0,3.0,,,1.0,0.0,2.0,25.0
