team,corners_att,corners_conc,cards_att,cards_conc,shots_att,shots_conc
Malaysia,-0.0574,-0.0052,-0.0345,-0.014,-0.0081,0.0132
Vietnam,-0.0454,-0.0162,-0.017,-0.0001,-0.1087,-0.0481
Bahrain,-0.1259,0.0627,0.0086,0.0656,-0.1059,-0.0307
Jordan,0.0441,-0.0258,-0.0697,-0.086,0.0979,-0.0327
Lebanon,-0.0745,0.0161,-0.0243,0.0531,-0.0242,0.0177
Oman,-0.1606,-0.0881,-0.072,-0.1404,-0.1216,0.0142
Afghanistan,-0.1058,0.028,0.0683,0.0104,-0.1244,0.0009
Kyrgyzstan,-0.1526,0.0777,0.0116,0.0895,-0.147,0.088
Philippines,0.0,0.0,-0.0054,0.0004,0.0,0.0
Myanmar,-0.0349,0.026,-0.0097,-0.0103,-0.1172,0.0149
Bangladesh,-0.0693,0.0297,0.0123,-0.0362,-0.1198,0.018
North Korea,0.0594,-0.0528,0.1056,0.0267,0.0501,0.0741
Palestine,0.046,0.0499,0.144,-0.0626,-0.0141,-0.0139
United Arab Emirates,-0.1584,0.0007,-0.0478,0.0279,0.0726,-0.0033
Thailand,0.092,0.06,-0.0962,-0.055,-0.0406,0.031
Syria,-0.0742,0.0128,-0.0331,0.0646,-0.023,0.0482
China,-0.0188,0.0764,0.1053,-0.1192,-0.1162,0.0262
Iraq,-0.0248,-0.0383,0.079,0.2217,-0.1558,-0.0186
Uzbekistan,0.0058,-0.0931,0.0001,-0.0331,0.0789,-0.089
Qatar,-0.0799,0.0085,0.051,0.2356,-0.1796,-0.0224
Kuwait,-0.3724,0.0958,0.0068,0.0005,-0.1277,0.0534
Indonesia,-0.0373,0.1025,0.1272,0.1458,-0.1391,0.0557
Venezuela,-0.0164,0.1761,0.0659,-0.0331,0.1332,0.1074
Paraguay,0.0963,-0.111,0.1135,0.1194,0.1736,-0.1517
Bolivia,0.0058,-0.1828,-0.0071,0.0408,0.0571,-0.1034
Ecuador,0.0872,-0.0627,-0.0477,-0.01,0.1438,-0.0949
Chile,0.0087,0.0914,0.0949,0.0777,0.0846,0.0911
USA,0.0473,0.0814,-0.0663,-0.1469,0.098,0.0119
Jamaica,0.0769,-0.159,0.1382,-0.1306,0.0686,0.0171
Haiti,-0.0747,-0.1601,-0.0547,0.0702,-0.005,0.0091
Cuba,-0.0163,-0.0245,-0.0079,-0.0025,-0.0673,-0.0448
Eswatini,0.0069,-0.0481,0.0299,0.0412,0.0,0.0
Hong Kong,0.0028,0.0261,-0.0415,-0.0948,-0.0268,0.0093
