fixture_id,kickoff_utc,team_id,team_name,opponent_id,opponent_name,side,predicted_sot_original,actual_sot,corrected_sot_global_ratio,corrected_sot_global_bias,corrected_sot_home_away_ratio,corrected_sot_pre_fixture,corrected_sot_leave_one_out,error_original,error_corrected_pre_fixture,abs_error_original,abs_error_corrected_pre_fixture,correction_mode,data_quality,confidence,reason
1562345,2026-06-30 01:00,1118,Netherlands,31,Morocco,home,3.828,2.0,3.418,3.333,3.594,3.371,3.425,1.828,1.371,1.828,1.371,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1564789,2026-06-30 17:00,1090,Norway,1501,Ivory Coast,away,5.082,4.0,4.538,4.587,4.3,4.456,4.525,1.082,0.456,1.082,0.456,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1564789,2026-06-30 17:00,1501,Ivory Coast,1090,Norway,home,3.761,5.0,3.358,3.266,3.531,3.298,3.349,-1.239,-1.702,1.239,1.702,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1565177,2026-06-30 21:00,2,France,5,Sweden,home,6.831,12.0,6.1,6.336,6.413,6.032,6.004,-5.169,-5.968,5.169,5.968,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1565177,2026-06-30 21:00,5,Sweden,2,France,away,3.282,3.0,2.931,2.787,2.777,2.898,2.884,0.282,-0.102,0.282,0.102,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567306,2026-07-01 01:00,16,Mexico,2382,Ecuador,home,3.879,3.0,3.464,3.384,3.642,3.535,3.486,0.879,0.535,0.879,0.535,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567306,2026-07-01 01:00,2382,Ecuador,16,Mexico,away,3.332,1.0,2.975,2.837,2.819,3.037,2.994,2.332,2.037,2.332,2.037,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567307,2026-07-01 16:00,10,England,1508,Congo DR,home,6.137,7.0,5.48,5.642,5.762,5.522,5.473,-0.863,-1.478,0.863,1.478,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567307,2026-07-01 16:00,1508,Congo DR,10,England,away,3.406,2.0,3.041,2.911,2.882,3.065,3.037,1.406,1.065,1.406,1.065,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
1567308,2026-07-01 20:00,1,Belgium,13,Senegal,home,5.952,5.0,5.315,5.457,5.588,5.366,5.322,0.952,0.366,0.952,0.366,pre_fixture_applied,evaluable,media,pre_fixture: ratio de fixtures anteriores aplicado (shadow)
